DosageForm,Dosage,Drugname,TotalApprovals
TABLET;ORAL,5MG,LISINOPRIL,17
TABLET;ORAL,5MG,"MEMANTINE HYDROCHLORIDE",17
TABLET;ORAL,6.25MG,CARVEDILOL,17
TABLET;ORAL,600MG,GABAPENTIN,17
TABLET;ORAL,750MG,METHOCARBAMOL,17
TABLET;ORAL,800MG,GABAPENTIN,17
TABLET;ORAL,"EQ 250MG BASE","NAPROXEN SODIUM",17
TABLET;ORAL,"EQ 25MG BASE","QUETIAPINE FUMARATE",17
TABLET;ORAL,"EQ 300MG BASE","RANITIDINE HYDROCHLORIDE",17
TABLET;ORAL,"EQ 500MG BASE","NAPROXEN SODIUM",17
INJECTABLE;INJECTION,"5,000 UNITS/ML","HEPARIN SODIUM",17
INJECTABLE;INJECTION,50MG/ML,"AMIODARONE HYDROCHLORIDE",17
INJECTABLE;INJECTION,"EQ 1MG BASE/ML","MIDAZOLAM HYDROCHLORIDE",17
INJECTABLE;SUBCUTANEOUS,"EQ 6MG BASE/0.5ML (EQ 12MG BASE/ML)","SUMATRIPTAN SUCCINATE",17
"TABLET, DELAYED RELEASE;ORAL","EQ 20MG BASE","PANTOPRAZOLE SODIUM",17
"TABLET, DELAYED RELEASE;ORAL","EQ 500MG VALPROIC ACID","DIVALPROEX SODIUM",17
CAPSULE;ORAL,100MG,ZONISAMIDE,17
CAPSULE;ORAL,25MG,ZONISAMIDE,17
CAPSULE;ORAL,50MG,INDOMETHACIN,17
CAPSULE;ORAL,50MG,ZONISAMIDE,17
CAPSULE;ORAL,"EQ 250MG BASE",CEPHALEXIN,17
CAPSULE;ORAL,"EQ 500MG BASE",CEPHALEXIN,17
CAPSULE;ORAL,200MG,ACYCLOVIR,16
GAS;INHALATION,N/A,"MEDICAL AIR, USP",16
INJECTABLE;INJECTION,"1,000 UNITS/ML","HEPARIN SODIUM",16
INJECTABLE;INJECTION,"EQ 1GM BASE/VIAL","CEFAZOLIN SODIUM",16
TABLET;ORAL,100MG,FLUCONAZOLE,16
TABLET;ORAL,10MG,"CYCLOBENZAPRINE HYDROCHLORIDE",16
TABLET;ORAL,1MG,GLIMEPIRIDE,16
TABLET;ORAL,200MG,FLUCONAZOLE,16
TABLET;ORAL,250MG,METRONIDAZOLE,16
TABLET;ORAL,25MG,ATENOLOL,16
TABLET;ORAL,25MG,"PROMETHAZINE HYDROCHLORIDE",16
TABLET;ORAL,2MG,GLIMEPIRIDE,16
TABLET;ORAL,35MG,"PHENDIMETRAZINE TARTRATE",16
TABLET;ORAL,37.5MG,"PHENTERMINE HYDROCHLORIDE",16
TABLET;ORAL,400MG,ETODOLAC,16
TABLET;ORAL,400MG,MEPROBAMATE,16
TABLET;ORAL,4MG,GLIMEPIRIDE,16
TABLET;ORAL,500MG,METHOCARBAMOL,16
TABLET;ORAL,50MG,FLUCONAZOLE,16
TABLET;ORAL,5MG,PREDNISONE,16
TABLET;ORAL,650MG;100MG,"PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN",16
TABLET;ORAL,750MG,LEVOFLOXACIN,16
TABLET;ORAL,"EQ 75MG BASE","CLOPIDOGREL BISULFATE",16
SOLUTION;ORAL,100MG/ML,LEVETIRACETAM,16
SYRUP;ORAL,"EQ 15MG BASE/ML","RANITIDINE HYDROCHLORIDE",16
"TABLET, CHEWABLE;ORAL","EQ 4MG BASE","MONTELUKAST SODIUM",16
"TABLET, CHEWABLE;ORAL","EQ 5MG BASE","MONTELUKAST SODIUM",16
"TABLET, DELAYED RELEASE;ORAL","EQ 40MG BASE","PANTOPRAZOLE SODIUM",16
"TABLET, EXTENDED RELEASE;ORAL",750MG,"METFORMIN HYDROCHLORIDE",16
"TABLET, DELAYED RELEASE;ORAL","EQ 125MG VALPROIC ACID","DIVALPROEX SODIUM",15
"TABLET, DELAYED RELEASE;ORAL","EQ 250MG VALPROIC ACID","DIVALPROEX SODIUM",15
TABLET;ORAL,0.25MG,ALPRAZOLAM,15
TABLET;ORAL,0.5MG,ALPRAZOLAM,15
TABLET;ORAL,100MG,"METOPROLOL TARTRATE",15
TABLET;ORAL,10MG,BACLOFEN,15
TABLET;ORAL,10MG,"BUSPIRONE HYDROCHLORIDE",15
TABLET;ORAL,12.5MG,"PROMETHAZINE HYDROCHLORIDE",15
TABLET;ORAL,150MG,FLUCONAZOLE,15
TABLET;ORAL,15MG,"BUSPIRONE HYDROCHLORIDE",15
TABLET;ORAL,1MG,ALPRAZOLAM,15
TABLET;ORAL,400MG,ACYCLOVIR,15
TABLET;ORAL,500MG,METRONIDAZOLE,15
TABLET;ORAL,50MG,"METOPROLOL TARTRATE",15
TABLET;ORAL,50MG,"PROMETHAZINE HYDROCHLORIDE",15
TABLET;ORAL,5MG,"BUSPIRONE HYDROCHLORIDE",15
TABLET;ORAL,800MG,ACYCLOVIR,15
TABLET;ORAL,"EQ 100MG BASE","QUETIAPINE FUMARATE",15
"CAPSULE, DELAYED REL PELLETS;ORAL","EQ 20MG BASE","DULOXETINE HYDROCHLORIDE",15
"CAPSULE, DELAYED REL PELLETS;ORAL","EQ 30MG BASE","DULOXETINE HYDROCHLORIDE",15
"CAPSULE, DELAYED REL PELLETS;ORAL","EQ 60MG BASE","DULOXETINE HYDROCHLORIDE",15
CAPSULE;ORAL,25MG,INDOMETHACIN,15
GAS;INHALATION,N/A,"OXYGEN, USP",15
"GUM, CHEWING;BUCCAL","EQ 2MG BASE","NICOTINE POLACRILEX",15
"GUM, CHEWING;BUCCAL","EQ 4MG BASE","NICOTINE POLACRILEX",15
INJECTABLE;INJECTION,"10,000 UNITS/ML","HEPARIN SODIUM",15
INJECTABLE;INJECTION,"EQ 150MG BASE/ML","CLINDAMYCIN PHOSPHATE",15
INJECTABLE;INJECTION,"EQ 1GM BASE/VIAL","GEMCITABINE HYDROCHLORIDE",15
INJECTABLE;INJECTION,"EQ 200MG BASE/VIAL","GEMCITABINE HYDROCHLORIDE",15
INJECTABLE;INTRAVENOUS,"30mCi-300mCi/8ML (3.75-37.5mCi/ML)","AMMONIA N 13",15
TABLET;ORAL,"EQ 200MG BASE","QUETIAPINE FUMARATE",15
TABLET;ORAL,"EQ 250MG BASE","TERBINAFINE HYDROCHLORIDE",15
TABLET;ORAL,"EQ 300MG BASE","QUETIAPINE FUMARATE",15
TABLET;ORAL,"EQ 400MG BASE","QUETIAPINE FUMARATE",15
TABLET;ORAL,"EQ 50MG BASE","QUETIAPINE FUMARATE",15
TABLET;ORAL,"EQ 20MG BASE","ESCITALOPRAM OXALATE",14
TABLET;ORAL,"EQ 2MG BASE","DOXAZOSIN MESYLATE",14
TABLET;ORAL,"EQ 4MG BASE","DOXAZOSIN MESYLATE",14
TABLET;ORAL,"EQ 4MG BASE","ONDANSETRON HYDROCHLORIDE",14
TABLET;ORAL,"EQ 500MG BASE","VALACYCLOVIR HYDROCHLORIDE",14
TABLET;ORAL,"EQ 5MG BASE","ESCITALOPRAM OXALATE",14
TABLET;ORAL,"EQ 5MG BASE","RIZATRIPTAN BENZOATE",14
TABLET;ORAL,"EQ 8MG BASE","DOXAZOSIN MESYLATE",14
TABLET;ORAL,"EQ 8MG BASE","ONDANSETRON HYDROCHLORIDE",14
"CAPSULE, DELAYED REL PELLETS;ORAL",15MG,LANSOPRAZOLE,14
CAPSULE;ORAL,10MG,RAMIPRIL,14
CAPSULE;ORAL,5MG,RAMIPRIL,14
INJECTABLE;INJECTION,10MG/ML,FUROSEMIDE,14
SYRUP;ORAL,5MG/5ML,"CETIRIZINE HYDROCHLORIDE",14
"TABLET, EXTENDED RELEASE;ORAL",0.5MG,ALPRAZOLAM,14
"TABLET, EXTENDED RELEASE;ORAL",100MG,"BUPROPION HYDROCHLORIDE",14
"TABLET, EXTENDED RELEASE;ORAL",1MG,ALPRAZOLAM,14
"TABLET, EXTENDED RELEASE;ORAL",2MG,ALPRAZOLAM,14
"TABLET, EXTENDED RELEASE;ORAL",3MG,ALPRAZOLAM,14
TABLET;ORAL,0.5MG,LORAZEPAM,14
TABLET;ORAL,100MG,"HYDRALAZINE HYDROCHLORIDE",14
TABLET;ORAL,10MG,"ENALAPRIL MALEATE",14
TABLET;ORAL,10MG,"HYDRALAZINE HYDROCHLORIDE",14
TABLET;ORAL,12.5MG;50MG,"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE",14
TABLET;ORAL,120MG,"SOTALOL HYDROCHLORIDE",14
TABLET;ORAL,15MG,MIRTAZAPINE,14
TABLET;ORAL,15MG,"OXYCODONE HYDROCHLORIDE",14
TABLET;ORAL,160MG,"SOTALOL HYDROCHLORIDE",14
TABLET;ORAL,1MG,LORAZEPAM,14
TABLET;ORAL,2.5MG,"ENALAPRIL MALEATE",14
TABLET;ORAL,20MG,BACLOFEN,14
TABLET;ORAL,20MG,"ENALAPRIL MALEATE",14
TABLET;ORAL,20MG,FUROSEMIDE,14
TABLET;ORAL,25MG,SPIRONOLACTONE,14
TABLET;ORAL,25MG;100MG,"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE",14
TABLET;ORAL,2MG,LORAZEPAM,14
TABLET;ORAL,30MG,MIRTAZAPINE,14
TABLET;ORAL,30MG,"OXYCODONE HYDROCHLORIDE",14
TABLET;ORAL,40MG,FUROSEMIDE,14
TABLET;ORAL,45MG,MIRTAZAPINE,14
TABLET;ORAL,5MG,"ENALAPRIL MALEATE",14
TABLET;ORAL,5MG,"OXYCODONE HYDROCHLORIDE",14
TABLET;ORAL,600MG,GEMFIBROZIL,14
TABLET;ORAL,80MG,"SOTALOL HYDROCHLORIDE",14
TABLET;ORAL,"EQ 10MG BASE","ESCITALOPRAM OXALATE",14
TABLET;ORAL,"EQ 10MG BASE","RIZATRIPTAN BENZOATE",14
TABLET;ORAL,"EQ 1GM BASE","VALACYCLOVIR HYDROCHLORIDE",14
TABLET;ORAL,"EQ 1MG BASE","DOXAZOSIN MESYLATE",14
INJECTABLE;INJECTION,5MG/ML,DIAZEPAM,14
INJECTABLE;INJECTION,"EQ 1GM BASE/VIAL;EQ 500MG BASE/VIAL","AMPICILLIN AND SULBACTAM",14
INJECTABLE;INJECTION,"EQ 2GM BASE/VIAL;EQ 1GM BASE/VIAL","AMPICILLIN AND SULBACTAM",14
INJECTABLE;INJECTION,"EQ 4MG BASE/4ML (EQ 1MG BASE/ML)","GRANISETRON HYDROCHLORIDE",14
"INJECTABLE;INTRAMUSCULAR, INTRAVENOUS","EQ 2GM BASE/VIAL",CEFTRIAXONE,14
"INJECTABLE;IV (INFUSION)","EQ 4MG BASE/5ML","ZOLEDRONIC ACID",14
INJECTABLE;INJECTION,1MG/ML,"METOPROLOL TARTRATE",13
INJECTABLE;INJECTION,2MEQ/ML,"POTASSIUM CHLORIDE",13
INJECTABLE;INJECTION,2MG/ML,LORAZEPAM,13
INJECTABLE;INJECTION,"EQ 1GM BASE/VIAL","VANCOMYCIN HYDROCHLORIDE",13
INJECTABLE;INJECTION,"EQ 500MG BASE/VIAL","VANCOMYCIN HYDROCHLORIDE",13
INJECTABLE;INJECTION,"EQ 50MG PHENYTOIN NA/ML","FOSPHENYTOIN SODIUM",13
"INJECTABLE;INTRAMUSCULAR, INTRAVENOUS","EQ 1GM BASE/VIAL",CEFTRIAXONE,13
"TABLET, EXTENDED RELEASE;ORAL",200MG,"BUPROPION HYDROCHLORIDE",13
TABLET;ORAL,"EQ 20MG BASE","QUINAPRIL HYDROCHLORIDE",13
TABLET;ORAL,"EQ 25MG BASE","SUMATRIPTAN SUCCINATE",13
TABLET;ORAL,"EQ 25MG BASE","VENLAFAXINE HYDROCHLORIDE",13
TABLET;ORAL,"EQ 2MG BASE","TIZANIDINE HYDROCHLORIDE",13
TABLET;ORAL,"EQ 35MG BASE","ALENDRONATE SODIUM",13
TABLET;ORAL,"EQ 37.5MG BASE","VENLAFAXINE HYDROCHLORIDE",13
TABLET;ORAL,"EQ 40MG BASE","QUINAPRIL HYDROCHLORIDE",13
TABLET;ORAL,"EQ 4MG BASE","TIZANIDINE HYDROCHLORIDE",13
TABLET;ORAL,"EQ 50MG BASE","SUMATRIPTAN SUCCINATE",13
TABLET;ORAL,"EQ 50MG BASE","VENLAFAXINE HYDROCHLORIDE",13
TABLET;ORAL,"EQ 5MG BASE","QUINAPRIL HYDROCHLORIDE",13
TABLET;ORAL,"EQ 70MG BASE","ALENDRONATE SODIUM",13
TABLET;ORAL,"EQ 75MG BASE","RANITIDINE HYDROCHLORIDE",13
TABLET;ORAL,"EQ 75MG BASE","VENLAFAXINE HYDROCHLORIDE",13
"CAPSULE, EXTENDED RELEASE;ORAL",120MG,"DILTIAZEM HYDROCHLORIDE",13
CAPSULE;ORAL,0.5MG,DUTASTERIDE,13
CAPSULE;ORAL,1.25MG,RAMIPRIL,13
CAPSULE;ORAL,10MG,PIROXICAM,13
CAPSULE;ORAL,2.5MG,RAMIPRIL,13
CAPSULE;ORAL,20MG,PIROXICAM,13
CAPSULE;ORAL,37.5MG,"PHENTERMINE HYDROCHLORIDE",13
CAPSULE;ORAL,65MG,"PROPOXYPHENE HYDROCHLORIDE",13
CAPSULE;ORAL,"EQ 40MG BASE","FLUOXETINE HYDROCHLORIDE",13
"FOR SOLUTION;ORAL",17GM/SCOOPFUL,"POLYETHYLENE GLYCOL 3350",13
TABLET;ORAL,100MG,ALLOPURINOL,13
TABLET;ORAL,100MG,CILOSTAZOL,13
TABLET;ORAL,100MG,"FLUVOXAMINE MALEATE",13
TABLET;ORAL,10MG,"BETHANECHOL CHLORIDE",13
TABLET;ORAL,10MG,GLIPIZIDE,13
TABLET;ORAL,10MG,OLANZAPINE,13
TABLET;ORAL,10MG,"PRAVASTATIN SODIUM",13
TABLET;ORAL,10MG,SIMVASTATIN,13
TABLET;ORAL,12.5MG;100MG,"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE",13
TABLET;ORAL,12.5MG;150MG,"IRBESARTAN AND HYDROCHLOROTHIAZIDE",13
TABLET;ORAL,12.5MG;300MG,"IRBESARTAN AND HYDROCHLOROTHIAZIDE",13
TABLET;ORAL,15MG,OLANZAPINE,13
TABLET;ORAL,160MG,VALSARTAN,13
TABLET;ORAL,2.5MG,OLANZAPINE,13
TABLET;ORAL,200MG,MEPROBAMATE,13
TABLET;ORAL,200MG,"QUINIDINE SULFATE",13
TABLET;ORAL,20MG,OLANZAPINE,13
TABLET;ORAL,20MG,"PRAVASTATIN SODIUM",13
TABLET;ORAL,20MG,PREDNISONE,13
TABLET;ORAL,20MG,SIMVASTATIN,13
TABLET;ORAL,25MG,"BETHANECHOL CHLORIDE",13
TABLET;ORAL,25MG,CHLORTHALIDONE,13
TABLET;ORAL,25MG,"MECLIZINE HYDROCHLORIDE",13
TABLET;ORAL,2MG,ALPRAZOLAM,13
TABLET;ORAL,300MG,ALLOPURINOL,13
TABLET;ORAL,300MG,CIMETIDINE,13
TABLET;ORAL,320MG,VALSARTAN,13
TABLET;ORAL,400MG,CIMETIDINE,13
TABLET;ORAL,40MG,"PRAVASTATIN SODIUM",13
TABLET;ORAL,40MG,SIMVASTATIN,13
TABLET;ORAL,40MG,VALSARTAN,13
TABLET;ORAL,50MG,"AMITRIPTYLINE HYDROCHLORIDE",13
TABLET;ORAL,50MG,BICALUTAMIDE,13
TABLET;ORAL,50MG,CHLORTHALIDONE,13
TABLET;ORAL,50MG,"FLUVOXAMINE MALEATE",13
TABLET;ORAL,5MG,GLIPIZIDE,13
TABLET;ORAL,5MG,OLANZAPINE,13
TABLET;ORAL,5MG,SIMVASTATIN,13
TABLET;ORAL,7.5MG,OLANZAPINE,13
TABLET;ORAL,750MG;7.5MG,"HYDROCODONE BITARTRATE AND ACETAMINOPHEN",13
TABLET;ORAL,800MG,CIMETIDINE,13
TABLET;ORAL,80MG,SIMVASTATIN,13
TABLET;ORAL,80MG,VALSARTAN,13
TABLET;ORAL,"EQ 100MG BASE","SUMATRIPTAN SUCCINATE",13
TABLET;ORAL,"EQ 100MG BASE","VENLAFAXINE HYDROCHLORIDE",13
TABLET;ORAL,"EQ 10MG BASE","METOCLOPRAMIDE HYDROCHLORIDE",13
TABLET;ORAL,"EQ 10MG BASE","QUINAPRIL HYDROCHLORIDE",13
"TABLET, ORALLY DISINTEGRATING;ORAL",15MG,OLANZAPINE,12
"TABLET, ORALLY DISINTEGRATING;ORAL",20MG,OLANZAPINE,12
"TABLET, ORALLY DISINTEGRATING;ORAL",5MG,OLANZAPINE,12
TABLET;ORAL,0.025MG;2.5MG,"DIPHENOXYLATE HYDROCHLORIDE AND ATROPINE SULFATE",12
TABLET;ORAL,0.1MG,"CLONIDINE HYDROCHLORIDE",12
TABLET;ORAL,0.2MG,"CLONIDINE HYDROCHLORIDE",12
TABLET;ORAL,0.3MG,"CLONIDINE HYDROCHLORIDE",12
TABLET;ORAL,0.5MG,CLONAZEPAM,12
TABLET;ORAL,100MG,"AMITRIPTYLINE HYDROCHLORIDE",12
TABLET;ORAL,100MG,ISONIAZID,12
TABLET;ORAL,10MG,"AMITRIPTYLINE HYDROCHLORIDE",12
TABLET;ORAL,10MG,"BENAZEPRIL HYDROCHLORIDE",12
TABLET;ORAL,12.5MG;10MG,"LISINOPRIL AND HYDROCHLOROTHIAZIDE",12
TABLET;ORAL,12.5MG;20MG,"LISINOPRIL AND HYDROCHLOROTHIAZIDE",12
TABLET;ORAL,1MG,CLONAZEPAM,12
TABLET;ORAL,20MG,"BENAZEPRIL HYDROCHLORIDE",12
TABLET;ORAL,20MG,TELMISARTAN,12
TABLET;ORAL,25MG,"AMITRIPTYLINE HYDROCHLORIDE",12
TABLET;ORAL,25MG,"FLUVOXAMINE MALEATE",12
TABLET;ORAL,25MG,"IMIPRAMINE HYDROCHLORIDE",12
TABLET;ORAL,25MG;20MG,"LISINOPRIL AND HYDROCHLOROTHIAZIDE",12
TABLET;ORAL,2MG,CLONAZEPAM,12
TABLET;ORAL,2MG,GLYCOPYRROLATE,12
TABLET;ORAL,300MG;15MG,"ACETAMINOPHEN AND CODEINE PHOSPHATE",12
TABLET;ORAL,325MG;5MG,"OXYCODONE AND ACETAMINOPHEN",12
TABLET;ORAL,400MG;80MG,"SULFAMETHOXAZOLE AND TRIMETHOPRIM",12
TABLET;ORAL,40MG,"BENAZEPRIL HYDROCHLORIDE",12
TABLET;ORAL,40MG,TELMISARTAN,12
TABLET;ORAL,500MG,"MYCOPHENOLATE MOFETIL",12
TABLET;ORAL,5MG,"BETHANECHOL CHLORIDE",12
TABLET;ORAL,5MG,"CYCLOBENZAPRINE HYDROCHLORIDE",12
TABLET;ORAL,5MG,"LEVOCETIRIZINE DIHYDROCHLORIDE",12
TABLET;ORAL,600MG,OXAPROZIN,12
TABLET;ORAL,750MG,NABUMETONE,12
TABLET;ORAL,80MG,"PRAVASTATIN SODIUM",12
TABLET;ORAL,80MG,TELMISARTAN,12
TABLET;ORAL,"EQ 10MG BASE","PAROXETINE HYDROCHLORIDE",12
TABLET;ORAL,"EQ 12MG BASE","GALANTAMINE HYDROBROMIDE",12
TABLET;ORAL,"EQ 15MG BASE","PIOGLITAZONE HYDROCHLORIDE",12
TABLET;ORAL,"EQ 20MG BASE","PAROXETINE HYDROCHLORIDE",12
TABLET;ORAL,"EQ 20MG BASE","SILDENAFIL CITRATE",12
TABLET;ORAL,"EQ 30MG BASE","PAROXETINE HYDROCHLORIDE",12
TABLET;ORAL,"EQ 30MG BASE","PIOGLITAZONE HYDROCHLORIDE",12
TABLET;ORAL,"EQ 40MG BASE","PAROXETINE HYDROCHLORIDE",12
TABLET;ORAL,"EQ 45MG BASE","PIOGLITAZONE HYDROCHLORIDE",12
