DosageForm,TotalApprovals
"FOR SOLUTION; ORAL",6
"INJECTABLE;INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",6
"Lotion; Topical",6
PASTE;TOPICAL,6
"POWDER, FOR INJECTION SOLUTION, LYOPHILIZED POWDER",6
SPRAY;TRANSDERMAL,6
"SUSPENSION; ORAL",6
"TABLET, EXTENDED RELEASE;BUCCAL",6
"TABLET, ORALLY DISINTEGRATING, EXTENDED RELEASE;ORAL",6
"AEROSOL, METERED;INTRAPLEURAL",5
"GEL; TOPICAL",5
"Injectable; Intravenous",5
"INJECTABLE;INTRAMUSCULAR, INTRAOCULAR, SUBCUTANEOUS",5
PASTILLE;ORAL,5
"POWDER; IV (INFUSION)",5
"SOLUTION;IV (INFUSION), INTRAOCULAR, INTRAMUSCULAR, SUBCUTANEOUS",5
SUSPENSION;ENTERAL,5
"TABLET, TABLET, TABLET;ORAL",5
DISC;TOPICAL,4
"FOR SUSPENSION;INTRAVENOUS",4
GEL;PERIODONTAL,4
"POWDER; INHALATION",4
"POWDER;INTRAMUSCULAR, INTRAVENOUS",4
"SOLUTION;INTRAMUSCULAR, SUBCUTANEOUS",4
SYSTEM;INTRADERMAL,4
"TABLET, CHEWABLE, TABLET;ORAL",4
"TABLET, ORALLY DISINTEGRATING, DELAYED RELEASE;ORAL",4
"TABLET; ORAL-28",4
TABLET;BUCCAL,4
"AEROSOL, METERED;SUBLINGUAL",3
"CAPSULE, TABLET, CAPSULE, DELAYED RELEASE;ORAL",3
DRESSING;TOPICAL,3
"FOR SOLUTION;INTRAVESICAL",3
"FOR SUSPENSION;INTRATRACHEAL",3
"GEL; TRANSDERMAL",3
"INJECTABLE; INTRAVITREAL",3
"SOLUTION; IRRIGATION",3
"SPRAY, METERED;ORAL",3
"SYSTEM;IONTOPHORESIS, TRANSDERMAL",3
"TABLET, EXTENDED RELEASE, CHEWABLE;ORAL",3
"TREATMENT; MAC",3
"AEROSOL, FOAM;RECTAL",2
"CAPSULE, COATED PELLETS;ORAL",2
"FIBER, EXTENDED RELEASE;PERIODONTAL",2
"INJECTABLE, SUSPENSION;OTIC",2
"INJECTABLE; SUSPENSION",2
"INJECTABLE;INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVITREAL",2
"PATCH;IONTOPHORESIS, TOPICAL",2
POWDER;INTRAPLEURAL,2
POWDER;SUBLINGUAL,2
SOAP;TOPICAL,2
"Tablet, Delayed Release; Oral",2
"TABLET, ORALLY DISINTEGRATING; ORAL",2
"TABLET; ORAL-21",2
"CREAM; TOPICAL, VAGINAL",1
"EMULSION; OPHTHALMIC",1
"For Solution; Intravenous",1
"FOR SUSPENSION, TABLET;ORAL",1
"FOR SUSPENSION; ORAL",1
"INJECTABLE, LIPOSOMAL;IV (INFUSION)",1
"INJECTABLE;SUBCUTANEOUS LYOPHILIZED POWER",1
"INJECTION, EXTENDED RELEASE;SUBCUTANEOUS",1
KIT,1
OINTMENT;INTRA-ANAL,1
"POWDER;IV (INFUSION), SUBCUTANEOUS",1
"SOLUTION; INHALATION",1
SOLUTION;IONTOPHORESIS,1
"SOLUTION;IONTOPHORESIS, TOPICAL",1
"SPRAY; NASAL",1
SPRAY;INHALATION,1
"SYSTEM;RELEASING INTRAUTERINE",1
"TABLET, CHEWABLE, TABLET, CAPSULE; ORAL",1
"TABLET, CHEWABLE; ORAL",1
"TABLET; ORAL SUSPENSION",1
"TABLET; ORALLY DISINTEGRATING",1
TAMPON;VAGINAL,1
