DosageForm,Dosage,ProductCount
TABLET;ORAL,"EQ 200MG BASE",45
INJECTABLE;INJECTION,500MG/VIAL,45
CAPSULE;ORAL,"EQ 75MG BASE",45
SOLUTION/DROPS;OPHTHALMIC,0.5%,44
"FOR SUSPENSION;ORAL","EQ 250MG BASE/5ML",44
INJECTABLE;INJECTION,1GM/VIAL,43
INJECTABLE;INJECTION,"EQ 250MG BASE/VIAL",43
TABLET;ORAL,0.75MG,43
CAPSULE;ORAL,"EQ 150MG BASE",43
"FOR SUSPENSION;ORAL",250MG/5ML,43
TABLET;ORAL,160MG,42
CAPSULE;ORAL,"EQ 20MG BASE",42
"FOR SUSPENSION;ORAL",125MG/5ML,42
"FOR SUSPENSION;ORAL","EQ 125MG BASE/5ML",41
CREAM;TOPICAL,0.025%,41
INJECTABLE;INJECTION,40MG/ML,40
TABLET;ORAL,"EQ 400MG BASE",39
TABLET;ORAL,0.2MG,38
INJECTABLE;INJECTION,2.5MG/ML,38
"TABLET, EXTENDED RELEASE;ORAL",60MG,38
INJECTABLE;INJECTION,"1,000 UNITS/ML",37
TABLET;ORAL,125MG,37
"TABLET, ORALLY DISINTEGRATING;ORAL",10MG,37
TABLET;ORAL,300MG;30MG,37
CAPSULE;ORAL,400MG,36
"TABLET, EXTENDED RELEASE;ORAL",150MG,36
INJECTABLE;INJECTION,50MG/VIAL,35
"TABLET, EXTENDED RELEASE;ORAL",400MG,35
TABLET;ORAL,1.25MG,34
"TABLET, EXTENDED RELEASE;ORAL",5MG,34
CREAM;TOPICAL,0.5%,34
INJECTABLE;INJECTION,"EQ 100MG BASE/VIAL",34
CAPSULE;ORAL,"EQ 5MG BASE",34
CAPSULE;ORAL,"EQ 1MG BASE",34
"CAPSULE, EXTENDED RELEASE;ORAL",120MG,34
INJECTABLE;INJECTION,"200MG/100ML (2MG/ML)",34
INJECTABLE;INJECTION,2MEQ/ML,33
TABLET;ORAL,6MG,33
OINTMENT;TOPICAL,0.1%,33
TABLET;ORAL,"EQ 600MG BASE",33
TABLET;ORAL,"EQ 30MG BASE",33
TABLET;ORAL,850MG,33
TABLET;ORAL,500MG;5MG,33
CAPSULE;ORAL,"EQ 25MG BASE",32
TABLET;ORAL,0.125MG,32
"CAPSULE, EXTENDED RELEASE;ORAL",60MG,32
"TABLET, EXTENDED RELEASE;ORAL",15MG,31
INJECTABLE;INJECTION,10MG/VIAL,31
OINTMENT;TOPICAL,0.05%,31
CAPSULE;ORAL,40MG,31
INJECTABLE;INJECTION,200MG/100ML,31
TABLET;ORAL,300MG;60MG,31
INJECTABLE;INJECTION,"10,000 UNITS/ML",30
TABLET;ORAL,0.3MG,30
"CAPSULE, EXTENDED RELEASE;ORAL",30MG,30
INJECTABLE;INJECTION,"EQ 125MG BASE/VIAL",30
INJECTABLE;INJECTION,2GM/VIAL,30
TABLET;ORAL,25MG;100MG,30
INJECTABLE;INJECTION,"5,000 UNITS/ML",29
TABLET;ORAL,"EQ 15MG BASE",29
INJECTABLE;INJECTION,200MG/ML,29
"CAPSULE, EXTENDED RELEASE;ORAL",300MG,29
INJECTABLE;INJECTION,30MG/ML,29
INJECTABLE;INJECTION,0.4MG/ML,29
"TABLET, ORALLY DISINTEGRATING;ORAL",5MG,29
LOTION;TOPICAL,1%,28
INJECTABLE;INJECTION,15MG/ML,28
SOLUTION/DROPS;OPHTHALMIC,"EQ 0.5% BASE",28
"CAPSULE, EXTENDED RELEASE;ORAL",100MG,28
SOLUTION;ORAL,100MG/ML,28
INJECTABLE;INJECTION,"EQ 50MG BASE/ML",27
TABLET;ORAL,0.025MG;2.5MG,27
TABLET;ORAL,37.5MG,27
TABLET;ORAL,375MG,27
CAPSULE;ORAL,"EQ 40MG BASE",27
SOLUTION;ORAL,"EQ 5MG BASE/5ML",27
TABLET;ORAL,325MG;5MG,27
INJECTABLE;INJECTION,"EQ 150MG BASE/ML",27
SOLUTION/DROPS;OPHTHALMIC,1%,26
CAPSULE;ORAL,65MG,26
INJECTABLE;INJECTION,"EQ 200MG BASE/VIAL",26
TABLET;ORAL,400MG;80MG,25
TABLET;ORAL,800MG;160MG,25
CAPSULE;ORAL,"EQ 300MG BASE",25
CAPSULE;ORAL,75MG,25
INJECTABLE;INJECTION,80MG/ML,24
"CAPSULE, EXTENDED RELEASE;ORAL",200MG,24
INJECTABLE;INJECTION,"EQ 50MG BASE/VIAL",24
TABLET;ORAL,350MG,24
"CAPSULE, EXTENDED RELEASE;ORAL",10MG,24
INJECTABLE;INJECTION,20MG/VIAL,24
TABLET;ORAL,"EQ 1GM BASE",24
"CAPSULE, DELAYED REL PELLETS;ORAL","EQ 20MG BASE",24
"TABLET, EXTENDED RELEASE;ORAL",3MG,24
TABLET;ORAL,325MG;10MG,24
TABLET;ORAL,325MG;7.5MG,24
CAPSULE;ORAL,500MG;5MG,23
INJECTABLE;INJECTION,"EQ 4GM BASE/VIAL",23
INJECTABLE;INJECTION,"EQ 20MG BASE/ML",23
CAPSULE;ORAL,"EQ 50,000 UNITS BASE",23
INJECTABLE;INJECTION,5MG/VIAL,23
CAPSULE;ORAL,2.5MG,23
SOLUTION/DROPS;OPHTHALMIC,0.1%,23
"TABLET, CHEWABLE;ORAL",5MG,23
TABLET;ORAL,325MG;50MG;40MG,23
"TABLET; ORAL",100MG,23
SYRUP;ORAL,50MG/5ML,22
TABLET;ORAL,25MG;25MG,22
TABLET;ORAL,25MG;250MG,22
TABLET;ORAL,650MG;100MG,22
SOLUTION/DROPS;OPHTHALMIC,0.3%,22
INJECTABLE;SUBCUTANEOUS,"EQ 6MG BASE/0.5ML (EQ 12MG BASE/ML)",22
INJECTABLE;INJECTION,"100MG/5ML (20MG/ML)",22
"CAPSULE, EXTENDED RELEASE;ORAL",20MG,22
"TABLET, ORALLY DISINTEGRATING;ORAL",15MG,22
INJECTABLE;INTRAVENOUS,10-200mCi/ML,22
"FOR SOLUTION;ORAL","EQ 250MG BASE/5ML",22
INJECTABLE;INTRAVENOUS,20-300mCi/ML,22
CREAM;TOPICAL,2.5%,21
SYRUP;ORAL,10MG/5ML,21
OINTMENT;TOPICAL,0.025%,21
INJECTABLE;INJECTION,"EQ 25MG BASE/ML",21
INJECTABLE;INJECTION,"EQ 0.05MG BASE/ML",21
CAPSULE;ORAL,"EQ 200MG BASE",21
"TABLET, EXTENDED RELEASE;ORAL",20MG,21
"TABLET, EXTENDED RELEASE;ORAL","EQ 4MG BASE",21
TABLET;ORAL,20MG;12.5MG,21
"TABLET, EXTENDED RELEASE;ORAL",1GM,21
INJECTABLE;INJECTION,"40MG/2ML (20MG/ML)",21
TABLET;ORAL,180MG,21
"Tablet; Oral",5MG,21
"Tablet; Oral",50MG,21
INJECTABLE;INJECTION,0.5%,20
CAPSULE;ORAL,"EQ 2MG BASE",20
INJECTABLE;INJECTION,4MG/ML,20
SOLUTION;ORAL,1MG/ML,20
SOLUTION;ORAL,5MG/5ML,20
INJECTABLE;INJECTION,"400MG/200ML (2MG/ML)",20
"INJECTABLE;IV (INFUSION)","50MG/5ML (10MG/ML)",20
"INJECTABLE;IV (INFUSION)","150MG/15ML (10MG/ML)",20
"INJECTABLE;IV (INFUSION)","450MG/45ML (10MG/ML)",20
TABLET;ORAL,"EQ 0.5MG BASE",20
"TABLET, ORALLY DISINTEGRATING;ORAL",4MG,20
"TABLET, DELAYED RELEASE;ORAL","EQ 20MG BASE",20
INJECTABLE;INJECTION,"EQ 5GM BASE/VIAL",20
TABLET;ORAL,300MG;15MG,19
"FOR SOLUTION;ORAL","EQ 125MG BASE/5ML",19
SUSPENSION;ORAL,"100,000 UNITS/ML",19
INJECTABLE;INJECTION,3MG/ML,19
TABLET;ORAL,50MG;0.125MG,19
INJECTABLE;INJECTION,"EQ 4MG PHOSPHATE/ML",19
"CAPSULE, EXTENDED RELEASE;ORAL",15MG,19
CAPSULE;ORAL,7.5MG,19
"TABLET, EXTENDED RELEASE;ORAL",120MG,19
INJECTABLE;INJECTION,0.02MG/ML,19
"GUM, CHEWING;BUCCAL","EQ 2MG BASE",19
"CAPSULE, EXTENDED RELEASE;ORAL",180MG,19
TABLET;ORAL,"EQ 750MG BASE",19
TABLET;ORAL,10MG;12.5MG,19
"GUM, CHEWING;BUCCAL","EQ 4MG BASE",19
"FOR SUSPENSION;ORAL",200MG/5ML,19
"CAPSULE; ORAL",100MG,19
CAPSULE;ORAL,35MG,19
INJECTABLE;INJECTION,"20,000 UNITS/ML",18
INJECTABLE;INJECTION,0.2MG/ML,18
"TABLET, EXTENDED RELEASE;ORAL",8MG,18
SUSPENSION;ORAL,125MG/5ML,18
"CAPSULE, EXTENDED RELEASE;ORAL",40MG,18
"TABLET; ORAL",10MG,18
"TABLET; ORAL",20MG,18
SOLUTION;TOPICAL,0.05%,18
TABLET;ORAL,90MG,18
"TABLET, DELAYED RELEASE;ORAL","EQ 500MG VALPROIC ACID",18
INJECTABLE;INJECTION,"5,000 UNITS/100ML",18
SUSPENSION;ORAL,100MG/5ML,18
"CAPSULE, EXTENDED RELEASE;ORAL",240MG,18
LOTION;TOPICAL,0.1%,18
TABLET;ORAL,5MG;6.25MG,18
TABLET;ORAL,6.25MG,18
TABLET;ORAL,3.125MG,18
"CAPSULE, EXTENDED RELEASE;ORAL",50MG,18
CAPSULE;ORAL,0.5MG,18
ELIXIR;ORAL,12.5MG/5ML,17
INJECTABLE;INJECTION,0.1MG/ML,17
"TABLET, EXTENDED RELEASE;ORAL",50MG,17
INJECTABLE;INJECTION,100MG/VIAL,17
CREAM;TOPICAL,"EQ 0.1% BASE",17
CREAM;TOPICAL,5%,17
"TABLET, EXTENDED RELEASE;ORAL",10MEQ,17
GEL;TOPICAL,0.05%,17
SYRUP;ORAL,"EQ 15MG BASE/ML",17
SOLUTION/DROPS;OPHTHALMIC,"EQ 0.3% BASE",17
"CAPSULE, DELAYED REL PELLETS;ORAL",15MG,17
"TABLET, ORALLY DISINTEGRATING;ORAL",20MG,17
"TABLET, CHEWABLE;ORAL","EQ 5MG BASE",17
"TABLET, CHEWABLE;ORAL","EQ 4MG BASE",17
"TABLET, DELAYED RELEASE;ORAL","EQ 40MG BASE",17
"CAPSULE, DELAYED REL PELLETS;ORAL","EQ 30MG BASE",17
"CAPSULE, DELAYED REL PELLETS;ORAL","EQ 60MG BASE",17
"TABLET; ORAL",25MG,17
INJECTABLE;INJECTION,"EQ 20GM BASE/VIAL",17
"TABLET; ORAL",150MG,17
"TABLET; ORAL",300MG,17
TABLET;ORAL,650MG;10MG,16
INJECTABLE;INJECTION,"EQ 2GM BASE/VIAL;EQ 1GM BASE/VIAL",16
INJECTABLE;INJECTION,"EQ 1GM BASE/VIAL;EQ 500MG BASE/VIAL",16
SOLUTION;ORAL,10GM/15ML,16
INJECTABLE;INJECTION,0.5MG/ML,16
OINTMENT;TOPICAL,1%,16
SOLUTION;TOPICAL,4%,16
"TABLET, CHEWABLE;ORAL",25MG,16
"CAPSULE, EXTENDED RELEASE;ORAL",75MG,16
TABLET;ORAL,25MG;15MG;0.1MG,16
"TABLET, EXTENDED RELEASE;ORAL",1MG,16
INJECTABLE;INJECTION,5GM/100ML,16
CAPSULE;ORAL,2MG,16
OINTMENT;TOPICAL,"EQ 0.1% BASE",16
INJECTABLE;INJECTION,"EQ 100MG BASE/ML",16
"SOLUTION;ORAL, RECTAL",10GM/15ML,16
INJECTABLE;INJECTION,400MG/100ML,16
"TABLET, DELAYED RELEASE;ORAL","EQ 250MG VALPROIC ACID",16
"TABLET, DELAYED RELEASE;ORAL","EQ 125MG VALPROIC ACID",16
TABLET;ORAL,"EQ 3MG BASE",16
"TABLET, EXTENDED RELEASE;ORAL",2.5MG,16
TABLET;ORAL,12.5MG;20MG,16
INJECTABLE;INJECTION,6MG/ML,16
CAPSULE;ORAL,"EQ 0.5MG BASE",16
TABLET;ORAL,45MG,16
"TABLET, EXTENDED RELEASE;ORAL",600MG,16
"CAPSULE; ORAL",200MG,16
TABLET;ORAL,25MG;80MG,16
TABLET;ORAL,2.5MG;500MG,16
TABLET;ORAL,5MG;500MG,16
"INJECTABLE;IV (INFUSION)","EQ 4MG BASE/5ML",16
"TABLET, ORALLY DISINTEGRATING;ORAL",0.5MG,16
"TABLET, ORALLY DISINTEGRATING;ORAL",2MG,16
"Tablet; Oral",200MG,16
"FOR SOLUTION;ORAL",17GM/SCOOPFUL,16
INJECTABLE;INTRAVENOUS,"30mCi-300mCi/8ML (3.75-37.5mCi/ML)",16
TABLET;ORAL,16MG,15
CAPSULE;ORAL,"50,000 IU",15
"CAPSULE, EXTENDED RELEASE;ORAL",5MG,15
OINTMENT;TOPICAL,5%,15
"TABLET, EXTENDED RELEASE;ORAL",40MG,15
INJECTABLE;INJECTION,10GM/100ML,15
TABLET;ORAL-28,0.035MG;1MG,15
CAPSULE;ORAL,"EQ 400MG BASE",15
"CAPSULE, EXTENDED RELEASE;ORAL",10MEQ,15
"CAPSULE, EXTENDED RELEASE;ORAL",80MG,15
"FILM, EXTENDED RELEASE;TRANSDERMAL",0.1MG/24HR,15
TABLET;ORAL,"EQ 0.25MG BASE",15
TABLET;ORAL,12.5MG;10MG,15
TABLET;ORAL,320MG,15
TABLET;ORAL,12.5MG;50MG,15
INJECTABLE;INJECTION,"1MG/10ML (0.1MG/ML)",15
TABLET;ORAL,12.5MG;80MG,15
"TABLET, ORALLY DISINTEGRATING;ORAL","EQ 10MG BASE",15
"INJECTABLE;IV (INFUSION)",50MG/VIAL,15
"TABLET, EXTENDED RELEASE;ORAL",0.5MG,15
"TABLET, EXTENDED RELEASE;ORAL",2MG,15
"TABLET, ORALLY DISINTEGRATING;ORAL",1MG,15
"TABLET, EXTENDED RELEASE;ORAL","EQ 2MG BASE",15
TABLET;ORAL,500MG;7.5MG,15
"INJECTABLE;INTRAMUSCULAR, INTRAVENOUS","EQ 2GM BASE/VIAL",15
INJECTABLE;INJECTION,"EQ 250MG BASE/ML",15
INJECTABLE;INJECTION,"EQ 1MG BASE/ML (EQ 1MG BASE/ML)",15
SOLUTION/DROPS;OPHTHALMIC,10%,14
TABLET;ORAL,750MG;7.5MG,14
CAPSULE;ORAL,37.5MG,14
"INJECTABLE;INTRAMUSCULAR, INTRAVENOUS","EQ 1GM BASE/VIAL",14
INJECTABLE;INJECTION,"50MG/25ML (2MG/ML)",14
INJECTABLE;INJECTION,"EQ 4MG BASE/4ML (EQ 1MG BASE/ML)",14
INJECTABLE;INJECTION,20%,14
TABLET;ORAL,"100MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",14
SYRUP;ORAL,2MG/5ML,14
TABLET;ORAL,"50MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",14
TABLET;SUBLINGUAL,1MG,14
SOLUTION;ORAL,100MG/5ML,14
LOTION;TOPICAL,0.5%,14
CONCENTRATE;ORAL,100MG/ML,14
CAPSULE;ORAL,"EQ 25MG HCL",14
CAPSULE;ORAL,"EQ 50MG HCL",14
INJECTABLE;INJECTION,"EQ 40MG BASE/VIAL",14
INJECTABLE;INJECTION,9MG/ML,14
TABLET;ORAL-28,0.35MG,14
"TABLET, CHEWABLE;ORAL",100MG,14
TABLET;ORAL,25MG;20MG,14
CAPSULE;ORAL,1.25MG,14
TABLET;ORAL,12.5MG;100MG,14
INJECTABLE;INJECTION,"EQ 50MG PHENYTOIN NA/ML",14
TABLET;ORAL,"EQ 70MG BASE",14
TABLET;ORAL-28,0.02MG;0.1MG,14
TABLET;ORAL,12.5MG;150MG,14
TABLET;ORAL,12.5MG;300MG,14
TABLET;ORAL,"EQ 45MG BASE",14
"TABLET; ORAL",600MG,14
INJECTABLE;INJECTION,0.01MG/ML;2%,13
SYRUP;ORAL,6.25MG/5ML,13
SOLUTION;TOPICAL,5%,13
TABLET;SUBLINGUAL,0.5MG,13
INJECTABLE;INJECTION,0.25MG/ML,13
OINTMENT;TOPICAL,0.5%,13
CONCENTRATE;ORAL,30MG/ML,13
CAPSULE;ORAL,"EQ 100MG HCL",13
INJECTABLE;INJECTION,200MG/VIAL,13
TABLET;ORAL,15MG;250MG,13
TABLET;ORAL,50MG;500MG,13
LOTION;TOPICAL,0.05%,13
SOLUTION;TOPICAL,1%,13
INJECTABLE;INJECTION,0.25%,13
TABLET;ORAL,3.75MG,13
CREAM;VAGINAL,2%,13
CAPSULE;ORAL,325MG;50MG;40MG,13
SOLUTION;ORAL,10MG/ML,13
SYRUP;ORAL,250MG/5ML,13
SOLUTION/DROPS;OPHTHALMIC,"EQ 0.25% BASE",13
LIQUID;N/A,100%,13
INJECTABLE;INJECTION,500MG/100ML,13
CAPSULE;ORAL,125MG,13
SUSPENSION;ORAL,200MG/5ML;40MG/5ML,13
"CAPSULE, EXTENDED RELEASE;ORAL","EQ 150MG BASE",13
CAPSULE;ORAL,60MG,13
INJECTABLE;INJECTION,61%,13
SOLUTION;INHALATION,"EQ 0.083% BASE",13
INJECTABLE;INJECTION,"EQ 0.5MG BASE/ML",13
CAPSULE;ORAL,12.5MG,13
CAPSULE;ORAL,"EQ 6MG BASE",13
"TABLET, ORALLY DISINTEGRATING;ORAL","EQ 5MG BASE",13
TABLET;ORAL,"EQ 12MG BASE",13
"CAPSULE; ORAL",25MG,13
"TABLET, EXTENDED RELEASE;ORAL",250MG,13
SOLUTION;TOPICAL,"EQ 1% BASE",13
"INJECTABLE;INTRAMUSCULAR, INTRAVENOUS","EQ 250MG BASE/VIAL",13
"INJECTABLE;INTRAMUSCULAR, INTRAVENOUS","EQ 500MG BASE/VIAL",13
INJECTABLE;INJECTION,"EQ 1GM BASE/3ML",13
TABLET;ORAL,"EQ 35MG BASE",13
TABLET;ORAL,"EQ 37.5MG BASE",13
TABLET;ORAL,23MG,12
TABLET;ORAL,650MG;7.5MG,12
"TABLET; ORAL",4MG,12
INJECTABLE;INJECTION,"EQ 3GM BASE/VIAL",12
INJECTABLE;INJECTION,"EQ 1.5GM BASE/VIAL",12
"Injectable; Injection",10MG/ML,12
POWDER;ORAL,"EQ 4GM RESIN/PACKET",12
POWDER;ORAL,"EQ 4GM RESIN/SCOOPFUL",12
"CAPSULE, DELAYED REL PELLETS;ORAL",40MG,12
ELIXIR;ORAL,80MG/15ML,12
INJECTABLE;INJECTION,250MG/ML,12
"TABLET, DELAYED RELEASE;ORAL",500MG,12
INJECTABLE;INJECTION,"40 UNITS/ML",12
INJECTABLE;INJECTION,3%,12
SHAMPOO;TOPICAL,1%,12
"CAPSULE, EXTENDED RELEASE;ORAL","EQ 75MG BASE",12
CONCENTRATE;ORAL,"EQ 10MG BASE/ML",12
"TABLET, EXTENDED RELEASE;ORAL",180MG,12
TABLET;ORAL,25MG;15MG,12
INJECTABLE;INJECTION,20GM/100ML,12
SOLUTION;TOPICAL,0.01%,12
"TABLET, CHEWABLE;ORAL",10MG,12
CAPSULE;ORAL,3.75MG,12
"CAPSULE, EXTENDED RELEASE;ORAL",105MG,12
"TABLET, EXTENDED RELEASE;ORAL",450MG,12
"CAPSULE, EXTENDED RELEASE;ORAL",8MEQ,12
TABLET;ORAL,50MG;25MG,12
INJECTABLE;INJECTION,"10,000 UNITS/100ML",12
"TABLET, EXTENDED RELEASE;ORAL",240MG,12
CAPSULE;ORAL,325MG;50MG;40MG;30MG,12
INJECTABLE;INJECTION,500MG/ML,12
"TABLET, EXTENDED RELEASE;ORAL","EQ 8MG BASE",12
"TABLET, EXTENDED RELEASE;ORAL",90MG,12
"TABLET, EXTENDED RELEASE;ORAL","EQ 50MG BASE",12
TABLET;ORAL,240MG,12
SOLUTION;ORAL,"EQ 20MG BASE/5ML",12
SOLUTION;INHALATION,0.02%,12
CAPSULE;ORAL,375MG,12
"INJECTABLE;IV (INFUSION)","600MG/60ML (10MG/ML)",12
SOLUTION/DROPS;OPHTHALMIC,"EQ 2% BASE;EQ 0.5% BASE",12
"TABLET, DELAYED RELEASE;ORAL",20MG,12
SOLUTION;TOPICAL,8%,12
"INJECTABLE;IV (INFUSION)","500MG/5ML (100MG/ML)",12
INJECTABLE;INJECTION,"EQ 0.1MG BASE/ML",11
INJECTABLE;INJECTION,10%,11
INJECTABLE;INJECTION,900MG/100ML,11
TABLET;ORAL,"10MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",11
SYRUP;ORAL,10MG/5ML;6.25MG/5ML,11
INJECTABLE;INJECTION,76%,11
SUPPOSITORY;RECTAL,25MG,11
"CAPSULE, EXTENDED RELEASE;ORAL",150MG,11
TABLET;ORAL,325MG;200MG,11
TABLET;ORAL,25MG;0.125MG,11
CREAM;TOPICAL,0.01%,11
TABLET;ORAL,30MG;500MG,11
"TABLET, EXTENDED RELEASE;ORAL",324MG,11
TABLET;ORAL,325MG;50MG,11
INJECTABLE;INJECTION,1mCi/ML,11
LOTION;TOPICAL,"EQ 0.05% BASE",11
INJECTABLE;INJECTION,"EQ 12.5MG BASE/ML",11
SOLUTION;ORAL,"EQ 300MG BASE/5ML",11
SYRUP;ORAL,"EQ 2MG BASE/5ML",11
CAPSULE;ORAL,22.5MG,11
SOLUTION;ORAL,1MG/5ML,11
"TABLET, DELAYED RELEASE;ORAL",50MG,11
"TABLET, DELAYED RELEASE;ORAL",75MG,11
OIL;TOPICAL,0.01%,11
"CAPSULE, EXTENDED RELEASE;ORAL",360MG,11
TABLET;ORAL-28,0.035MG;0.25MG,11
"TABLET, EXTENDED RELEASE;ORAL","EQ 100MG BASE",11
TABLET;ORAL,"EQ 24MG BASE",11
"CAPSULE, DELAYED REL PELLETS;ORAL",30MG,11
CAPSULE;ORAL,0.4MG,11
INJECTABLE;INJECTION,"EQ 4MG BASE/VIAL",11
"CAPSULE, EXTENDED RELEASE;ORAL","EQ 37.5MG BASE",11
"TABLET, ORALLY DISINTEGRATING;ORAL",8MG,11
CAPSULE;ORAL,"EQ 3MG BASE",11
CAPSULE;ORAL,1MCG,11
SOLUTION;TOPICAL,1.5%,11
"TABLET, ORALLY DISINTEGRATING;ORAL",30MG,11
SOLUTION;ORAL,10MG/5ML,11
"INJECTABLE;IV (INFUSION)",100MG/VIAL,11
TABLET;ORAL,25MG;40MG,11
"TABLET, EXTENDED RELEASE;ORAL",4MG,11
TABLET;ORAL,500MG;10MG,11
SYRUP;ORAL,15MG/5ML,11
TABLET;ORAL,1.25MG;1.25MG;1.25MG;1.25MG,11
TABLET;ORAL,2.5MG;2.5MG;2.5MG;2.5MG,11
TABLET;ORAL,5MG;5MG;5MG;5MG,11
TABLET;ORAL,"EQ 125MG BASE",11
TABLET;ORAL,"500,000 UNITS",11
INJECTABLE;INJECTION,"5,000,000 UNITS/VIAL",11
INJECTABLE;INJECTION,"EQ 500MG BASE/2ML",11
"CAPSULE, DELAYED REL PELLETS;ORAL",10MG,11
"CAPSULE, DELAYED REL PELLETS;ORAL",20MG,11
INJECTABLE;INJECTION,"EQ 0.1MG BASE/ML (EQ 0.1MG BASE/ML)",11
CAPSULE;ORAL,"100MG EXTENDED",10
TABLET;ORAL,7.5MG;7.5MG;7.5MG;7.5MG,10
CAPSULE;ORAL,"EQ 125MG BASE",10
"FOR SUSPENSION;ORAL","EQ 500MG BASE/5ML",10
INJECTABLE;INJECTION,"EQ 10GM BASE/VIAL;EQ 5GM BASE/VIAL",10
TABLET;VAGINAL,"100,000 UNITS",10
