ApprovalYear,SponsorApplicant,TotalApprovals
1955,BRACCO,1
1955,"CASPER PHARMA LLC",1
1955,"CONCORDIA PHARMS INC",1
1955,"FRESENIUS KABI USA",1
1955,"GE HEALTHCARE",1
1955,GLENWOOD,1
1955,LANNETT,1
1955,"MEDPOINTE PHARM HLC",1
1955,"MONARCH PHARMS",1
1955,NOVARTIS,1
1955,PANRAY,1
1955,PARKEDALE,1
1955,RANBAXY,1
1955,STORZ,1
1955,"UCB INC",1
1955,"VALEANT PHARM INTL",1
1955,"VALEANT PHARMS",1
1955,"VALEANT PHARMS LLC",1
1955,"WYETH AYERST",1
1956,PFIZER,3
1956,"SANOFI AVENTIS US",3
1956,3M,2
1956,"KING PHARMS",2
1956,PARKEDALE,2
1956,"BAXTER HLTHCARE CORP",1
1956,"GE HEALTHCARE",1
1956,GLAXOSMITHKLINE,1
1956,HOSPIRA,1
1956,"KING PHARMS R AND D",1
1956,MERCK,1
1956,NOVARTIS,1
1956,"NURO PHARMA",1
1956,"PARKE DAVIS",1
1956,"PHARMACIA AND UPJOHN",1
1956,ROERIG,1
1956,TARGACEPT,1
1956,"WYETH AYERST",1
1956,"WYETH PHARMS INC",1
1957,GLAXOSMITHKLINE,6
1957,"WYETH AYERST",4
1957,BRACCO,2
1957,LEDERLE,2
1957,SCHERING,2
1957,"XANODYNE PHARM",2
1957,3M,1
1957,ABBVIE,1
1957,"ANI PHARMS",1
1957,"ASPEN GLOBAL INC",1
1957,ASTELLAS,1
1957,"AUXILIUM PHARMS LLC",1
1957,BRISTOL,1
1957,"BRISTOL MYERS SQUIBB",1
1957,"CASPER PHARMA LLC",1
1957,"HERITAGE PHARMS INC",1
1957,"MCNEIL CONS",1
1957,"MEDPOINTE PHARM HLC",1
1957,MERCK,1
1957,"MONARCH PHARMS",1
1957,"ORGANICS LAGRANGE",1
1957,"ORGANON USA INC",1
1957,"PAR PHARM",1
1957,"PARKE DAVIS",1
1957,PARKEDALE,1
1957,PFIZER,1
1957,"PHARMACIA AND UPJOHN",1
1957,"RECORDATI RARE",1
1957,"SANOFI AVENTIS US",1
1957,STORZ,1
1957,"WYETH CONS",1
1958,LEDERLE,4
1958,"WYETH AYERST",4
1958,BRACCO,3
1958,"DELCOR ASSET CORP",2
1958,MERCK,2
1958,PARKEDALE,2
1958,PFIZER,2
1958,APOTHECON,1
1958,ASTRAZENECA,1
1958,"BEL MAR",1
1958,"CONCORDIA PHARMS INC",1
1958,"HERITAGE PHARMS INC",1
1958,"JANSSEN R AND D",1
1958,"OAK PHARMS AKORN",1
1958,"PHARM RES ASSOC",1
1958,SCHERING,1
1958,SHIRE,1
1958,"SUN PHARM INDS",1
1958,TARO,1
1959,MERCK,5
1959,LEDERLE,4
1959,NOVARTIS,3
1959,"PHARMACIA AND UPJOHN",3
1959,ABBVIE,2
1959,APOTHECON,2
1959,"BAXTER HLTHCARE",2
1959,GLAXOSMITHKLINE,2
1959,3M,1
1959,"ACTAVIS LABS UT INC",1
1959,AKORN,1
1959,ALCON,1
1959,ASTELLAS,1
1959,"ENDO PHARMS",1
1959,"EUROHLTH INTL SARL",1
1959,"FRESENIUS KABI USA",1
1959,"HERITAGE PHARMS INC",1
1959,HOSPIRA,1
1959,IMMUNEX,1
1959,MALLINCKRODT,1
1959,"MEDA PHARMS",1
1959,MEDICIS,1
1959,"OAK PHARMS AKORN",1
1959,"ORGANON USA INC",1
1959,PARKEDALE,1
1959,PFIZER,1
1959,SANDOZ,1
1959,"SANOFI AVENTIS US",1
1959,SCHERING,1
1959,"SHIRE LLC",1
1959,"UCB INC",1
1959,"VALEANT PHARMS LLC",1
1959,"VALIDUS PHARMS INC",1
1960,LEDERLE,5
1960,"PHARMACIA AND UPJOHN",3
1960,APOTHECON,2
1960,"DELCOR ASSET CORP",2
1960,"GD SEARLE LLC",2
1960,"KING PHARMS",2
1960,"MEDA PHARMS",2
1960,MERCK,2
1960,NOVARTIS,2
1960,"SANOFI AVENTIS US",2
1960,SCHERING,2
1960,3M,1
1960,ABBVIE,1
1960,"ACTAVIS LABS UT INC",1
1960,"AH ROBINS INC",1
1960,ALCON,1
1960,CARACO,1
1960,"EASTMAN KODAK",1
1960,"ENDO PHARMS",1
1960,"EUROHLTH INTL SARL",1
1960,"HERITAGE PHARMS INC",1
1960,"HI TECH PHARMA",1
1960,HOSPIRA,1
1960,"IGI LABS INC",1
1960,LILLY,1
1960,"MONARCH PHARMS",1
1960,"ORGANON USA INC",1
1960,"PAR STERILE PRODUCTS",1
1960,"PARKE DAVIS",1
1960,"PROCTER AND GAMBLE",1
1960,"ROBINS AH",1
1960,SHIRE,1
1960,"TELIGENT PHARMA INC",1
1960,"TEVA WOMENS",1
1960,"VALEANT PHARM INTL",1
1960,"WYETH PHARMS INC",1
1961,LEDERLE,6
1961,PARKEDALE,4
1961,MERCK,3
1961,ABBVIE,2
1961,ALLERGAN,2
1961,ASTRAZENECA,2
1961,"GD SEARLE LLC",2
1961,"KING PHARMS",2
1961,NOVARTIS,2
1961,SCHERING,2
1961,ABBOTT,1
1961,"BOEHRINGER INGELHEIM",1
1961,"CASPER PHARMA LLC",1
1961,"CONCORDIA PHARMS INC",1
1961,"DELCOR ASSET CORP",1
1961,"EUROHLTH INTL SARL",1
1961,"HERITAGE PHARMS INC",1
1961,"HI TECH PHARMA",1
1961,"HRA PHARMA",1
1961,"PARKE DAVIS",1
1961,PFIZER,1
1961,"PHARMACIA AND UPJOHN",1
1961,"SALIX PHARMS",1
1961,SANDOZ,1
1961,SHIRE,1
1961,STORZ,1
1961,"VALEANT PHARMS LLC",1
1962,MERCK,5
1962,LEDERLE,4
1962,"KING PHARMS",3
1962,PARKEDALE,3
1962,BRACCO,2
1962,NOVARTIS,2
1962,ALCON,1
1962,"ASPEN GLOBAL INC",1
1962,"ENDO PHARMS",1
1962,"ENDO PHARMS INC",1
1962,LIEBEL-FLARSHEIM,1
1962,LILLY,1
1962,"LUNDBECK INC",1
1962,"MONARCH PHARMS",1
1962,"ORGANON USA INC",1
1962,"ORTHO MCNEIL PHARM",1
1962,SHIRE,1
1962,"SPECTRUM PHARMS",1
1962,STORZ,1
1962,"UCB INC",1
1962,"WYETH AYERST",1
1962,"WYETH PHARMS INC",1
1963,LEDERLE,6
1963,"MEDIMETRIKS PHARMS",3
1963,PARKEDALE,3
1963,"ALCON LABS INC",2
1963,ALLERGAN,2
1963,"KING PHARMS",2
1963,"MONARCH PHARMS",2
1963,ALCON,1
1963,APOTHECON,1
1963,"AQUA PHARMS",1
1963,"GD SEARLE LLC",1
1963,"IVAX SUB TEVA PHARMS",1
1963,LANNETT,1
1963,LILLY,1
1963,MALLINCKRODT,1
1963,NOVARTIS,1
1963,"PERSONAL PRODS",1
1963,PFIZER,1
1963,ROCHE,1
1963,SANDOZ,1
1963,"SCHERING PLOUGH",1
1963,STORZ,1
1964,LEDERLE,4
1964,"PHARMACIA AND UPJOHN",4
1964,"CLOVER PHARMS",3
1964,"DELCOR ASSET CORP",3
1964,"MONARCH PHARMS",3
1964,"KING PHARMS",2
1964,LILLY,2
1964,"ORGANON USA INC",2
1964,PFIZER,2
1964,"SANOFI AVENTIS US",2
1964,TEVA,2
1964,"WYETH AYERST",2
1964,"ACTAVIS LABS UT INC",1
1964,ALLERGAN,1
1964,"ANI PHARMS INC",1
1964,"APOTEX INC",1
1964,APOTHECON,1
1964,"ARBOR PHARMS LLC",1
1964,ASTRAZENECA,1
1964,"B BRAUN",1
1964,"BAXTER HLTHCARE",1
1964,"BAXTER HLTHCARE CORP",1
1964,"BAYER PHARMS",1
1964,"CONCORDIA PHARMS INC",1
1964,COREPHARMA,1
1964,DISTA,1
1964,"ENDO PHARMS INC",1
1964,"EUROHLTH INTL SARL",1
1964,"GEMINI LABS LLC",1
1964,HOSPIRA,1
1964,MALLARD,1
1964,MEDICIS,1
1964,"MEDIMETRIKS PHARMS",1
1964,"MERCK SHARP DOHME",1
1964,"PARKE DAVIS",1
1964,PARKEDALE,1
1964,"PURDUE GMP",1
1964,RANBAXY,1
1964,"RECORDATI RARE",1
1964,"US PHARM HOLDINGS",1
1964,"VALEANT PHARM INTL",1
1964,"WEST WARD",1
1965,"PHARMACIA AND UPJOHN",5
1965,LEDERLE,3
1965,"MONARCH PHARMS",3
1965,"WYETH AYERST",3
1965,"DENTSPLY PHARM",2
1965,HOSPIRA,2
1965,"KING PHARMS",2
1965,SCHERING,2
1965,"ADVANCE BIOFACTURES",1
1965,ALLERGAN,1
1965,"ALPHARMA US PHARMS",1
1965,APOTHECON,1
1965,"AQUA PHARMS",1
1965,"ARBOR PHARMS LLC",1
1965,ASTRAZENECA,1
1965,"B BRAUN",1
1965,BAYER,1
1965,COREPHARMA,1
1965,"DELCOR ASSET CORP",1
1965,"ENDO PHARMS INC",1
1965,"EUROHLTH INTL SARL",1
1965,"GLAXOSMITHKLINE LLC",1
1965,"IROKO PHARMS LLC",1
1965,LILLY,1
1965,"MEDA PHARMS",1
1965,"MERCK SHARP DOHME",1
1965,"NEW RIVER",1
1965,"ORGANON USA INC",1
1965,PFIZER,1
1965,STORZ,1
1965,"UCB INC",1
1965,"VALEANT PHARMS",1
1965,"WYETH PHARMS INC",1
1966,LEDERLE,4
1966,"MONARCH PHARMS",4
1966,"PHARMACIA AND UPJOHN",4
1966,LILLY,3
1966,APOTHECON,2
1966,HOSPIRA,2
1966,"KING PHARMS",2
1966,PARKEDALE,2
1966,"WYETH AYERST",2
1966,ABBOTT,1
1966,"ALCON LABS INC",1
1966,"ANI PHARMS",1
1966,"ASPEN GLOBAL INC",1
1966,"BAYER HLTHCARE",1
1966,"BAYER PHARMS",1
1966,COREPHARMA,1
1966,DISTA,1
1966,"ENDO PHARMS INC",1
1966,"GD SEARLE LLC",1
1966,LANNETT,1
1966,ROCHE,1
1966,"SEBELA IRELAND LTD",1
1966,"US PHARM HOLDINGS",1
1967,LEDERLE,4
1967,HOSPIRA,3
1967,"MONARCH PHARMS",3
1967,PFIZER,3
1967,"PHARMACIA AND UPJOHN",3
1967,"WYETH AYERST",3
1967,ATON,2
1967,"KING PHARMS",2
1967,"MERCK SHARP DOHME",2
1967,"ORTHO MCNEIL",2
1967,ABBVIE,1
1967,"ACTAVIS LABS UT INC",1
1967,APOTHECON,1
1967,ARMENPHARM,1
1967,"BAXTER HLTHCARE CORP",1
1967,"BRISTOL MYERS SQUIBB",1
1967,"CNTY LINE PHARMS",1
1967,COREPHARMA,1
1967,DISTA,1
1967,"ENDO PHARMS INC",1
1967,"GD SEARLE LLC",1
1967,GLAXOSMITHKLINE,1
1967,"HIKMA PHARMS LLC",1
1967,LILLY,1
1967,"MEDIMETRIKS PHARMS",1
1967,"PARKE DAVIS",1
1967,ROCHE,1
1967,"SANOFI AVENTIS US",1
1967,SCHERING,1
1967,"SHIONOGI INC",1
1967,SOLVAY,1
1967,"STI PHARMA LLC",1
1967,"TEVA WOMENS",1
1967,"WYETH CONS",1
1967,"WYETH PHARMS INC",1
1968,"MONARCH PHARMS",3
1968,PFIZER,3
1968,"PHARMACIA AND UPJOHN",3
1968,"GD SEARLE LLC",2
1968,"KING PHARMS",2
1968,LEDERLE,2
1968,MALLINCKRODT,2
1968,NOVARTIS,2
1968,"SANOFI AVENTIS US",2
1968,TEVA,2
1968,"WYETH AYERST",2
1968,"WYETH PHARMS",2
1968,AKORN,1
1968,ALLERGAN,1
1968,ALTANA,1
1968,ASTRAZENECA,1
1968,"DELCOR ASSET CORP",1
1968,"ENDO PHARMS",1
1968,"ENDO PHARMS INC",1
1968,"FRESENIUS KABI USA",1
1968,HOSPIRA,1
1968,MERCK,1
1968,MYLAN,1
1968,"ORTHO MCNEIL JANSSEN",1
1968,POLYMEDICA,1
1968,"SEBELA IRELAND LTD",1
1968,STORZ,1
1969,LEDERLE,4
1969,PFIZER,4
1969,"MONARCH PHARMS",3
1969,PARKEDALE,3
1969,"PHARMACIA AND UPJOHN",3
1969,"WYETH AYERST",3
1969,ALLERGAN,2
1969,"GE HEALTHCARE",2
1969,"KING PHARMS",2
1969,MERCK,2
1969,SCHERING,2
1969,ABBOTT,1
1969,"ALLERGAN SALES LLC",1
1969,"B BRAUN",1
1969,"BAYER HLTHCARE",1
1969,"BRISTOL MYERS SQUIBB",1
1969,COREPHARMA,1
1969,DISTA,1
1969,"DOW PHARM",1
1969,"FOREST LABS",1
1969,"FRESENIUS KABI USA",1
1969,LILLY,1
1969,"MYLAN INSTITUTIONAL",1
1969,"PAR STERILE PRODUCTS",1
1969,PHARMICS,1
1969,SANDOZ,1
1969,"SANOFI AVENTIS US",1
1969,"SIGMA TAU",1
1969,STERLING,1
1969,"TEVA PARENTERAL",1
1970,PFIZER,5
1970,"PHARMACIA AND UPJOHN",5
1970,"WYETH AYERST",5
1970,"BAXTER HLTHCARE",3
1970,"MONARCH PHARMS",3
1970,"B BRAUN",2
1970,BRACCO,2
1970,"BRISTOL MYERS SQUIBB",2
1970,"GD SEARLE LLC",2
1970,"KING PHARMS",2
1970,LANNETT,2
1970,LEDERLE,2
1970,MERCK,2
1970,NOVARTIS,2
1970,"PAR STERILE PRODUCTS",2
1970,SANDOZ,2
1970,SCHERING,2
1970,"VALEANT PHARM INTL",2
1970,"AKORN INC",1
1970,"ALCON LABS INC",1
1970,ALLERGAN,1
1970,"ALVOGEN MALTA",1
1970,"AMPHASTAR PHARMS INC",1
1970,"ARBOR PHARMS INC",1
1970,ASTRAZENECA,1
1970,ATON,1
1970,COREPHARMA,1
1970,DISTA,1
1970,ELORAC,1
1970,GLAXOSMITHKLINE,1
1970,HOSPIRA,1
1970,LILLY,1
1970,"NOVEN THERAP",1
1970,OPTOPICS,1
1970,"ORTHO MCNEIL JANSSEN",1
1970,"PARKE DAVIS",1
1970,PARKEDALE,1
1970,"PRECISION DOSE",1
1970,ROCHE,1
1970,SHIRE,1
1970,SOLVAY,1
1970,STORZ,1
1970,"SUN PHARM INDS",1
1971,"BAXTER HLTHCARE",12
1971,APOTHECON,5
1971,LEDERLE,5
1971,"PHARMACIA AND UPJOHN",5
1971,PFIZER,4
1971,"WYETH AYERST",4
1971,"AAIPHARMA LLC",3
1971,BRACCO,3
1971,"BRISTOL MYERS SQUIBB",3
1971,HOSPIRA,3
1971,"MALLINKRODT NUCLEAR",3
1971,"MONARCH PHARMS",3
1971,SANDOZ,3
1971,ALCON,2
1971,"ALCON LABS INC",2
1971,ALLERGAN,2
1971,ALRA,2
1971,"AM ANTIBIOTICS",2
1971,"B BRAUN",2
1971,"CASPER PHARMA LLC",2
1971,"CNTY LINE PHARMS",2
1971,"FRESENIUS KABI USA",2
1971,HEXCEL,2
1971,"IDT AUSTRALIA LTD",2
1971,"KING PHARMS",2
1971,"PAR PHARM",2
1971,PARKEDALE,2
1971,"PERRIGO CO TENNESSEE",2
1971,"PRAGMA PHARMS LLC",2
1971,TEVA,2
1971,ABBOTT,1
1971,ADAPT,1
1971,AKORN,1
1971,"AQUA PHARMS",1
1971,"BELMORA LLC",1
1971,COREPHARMA,1
1971,"DAVA PHARMS INC",1
1971,DISTA,1
1971,"DOW PHARM",1
1971,ELORAC,1
1971,"EUROHLTH INTL SARL",1
1971,"GLENMARK GENERICS",1
1971,"HIKMA INTL PHARMS",1
1971,"IMPAX LABS",1
1971,"JANSSEN PHARMS",1
1971,LIEBEL-FLARSHEIM,1
1971,MALLINCKRODT,1
1971,MERCK,1
1971,"MISSION PHARMA",1
1971,NOVARTIS,1
1971,"OXFORD PHARMS",1
1971,"PAR STERILE PRODUCTS",1
1971,"PARKE DAVIS",1
1971,"SANOFI AVENTIS US",1
1971,"TRIAX PHARMS",1
1971,VALEANT,1
1971,"VALEANT INTL",1
1971,"WATSON LABS",1
1971,"XANODYNE PHARM",1
1972,HOSPIRA,8
1972,"FRESENIUS KABI USA",7
1972,PFIZER,6
1972,"PHARMACIA AND UPJOHN",6
1972,"WYETH AYERST",6
1972,ASTELLAS,5
1972,"EUROHLTH INTL SARL",5
1972,ALLERGAN,4
1972,LEDERLE,4
1972,SANDOZ,4
1972,"WATSON LABS",4
1972,BARR,3
1972,"HIKMA INTL PHARMS",3
1972,LUITPOLD,3
1972,"MONARCH PHARMS",3
1972,ROXANE,3
1972,"X GEN PHARMS",3
1972,ABBOTT,2
1972,ALCON,2
1972,ALRA,2
1972,"AUROLIFE PHARMA LLC",2
1972,"BAXTER HLTHCARE",2
1972,BRISTOL,2
1972,"BRISTOL MYERS SQUIBB",2
1972,"DELCOR ASSET CORP",2
1972,"DOW PHARM",2
1972,"KING PHARMS",2
1972,LILLY,2
1972,MERCK,2
1972,"MK LABS",2
1972,"MUTUAL PHARM",2
1972,"ORGANON USA INC",2
1972,PARKEDALE,2
1972,"SUN PHARM INDS",2
1972,"VALEANT INTL",2
1972,"AAIPHARMA LLC",1
1972,AKORN,1
1972,"ALCON LABS INC",1
1972,"ANI PHARMS INC",1
1972,APOTHEKERNES,1
1972,"ARBOR PHARMS LLC",1
1972,ASTRAZENECA,1
1972,"AUXILIUM PHARMS INC",1
1972,"CONTRACT PHARMACAL",1
1972,COREPHARMA,1
1972,DISTA,1
1972,"ELKINS SINN",1
1972,"ENDO PHARMS INC",1
1972,EVERYLIFE,1
1972,FOUGERA,1
1972,"GE HEALTHCARE",1
1972,"GLENMARK GENERICS",1
1972,"GRAHAM CHEM",1
1972,HALOCARBON,1
1972,"HERITAGE PHARMS INC",1
1972,"HIKMA PHARMS LLC",1
1972,"JOHNSON AND JOHNSON",1
1972,LIEBEL-FLARSHEIM,1
1972,"MEDA PHARMS",1
1972,"MIZA PHARMS USA",1
1972,"NEW RIVER",1
1972,"NEXGEN PHARMA INC",1
1972,NOVARTIS,1
1972,NOVOCOL,1
1972,"OXFORD PHARMS",1
1972,"PAR STERILE PRODUCTS",1
1972,"PERRIGO NEW YORK",1
1972,"PFIZER GLOBAL",1
1972,"PRAGMA PHARMS LLC",1
1972,"PRECISION DERMAT",1
1972,"PUREPAC PHARM",1
1972,"RECORDATI RARE",1
1972,"REMPEX PHARMS INC",1
1972,"SANOFI AVENTIS US",1
1972,SCHERING,1
1972,SOLVAY,1
1972,STORZ,1
1972,TEVA,1
1972,"TRIAX PHARMS",1
1972,"XANODYNE PHARM",1
1973,"WYETH AYERST",12
1973,"WATSON LABS",9
1973,"MK LABS",7
1973,"PHARMACIA AND UPJOHN",7
1973,LEDERLE,6
1973,"IMPAX LABS",5
1973,ALCON,4
1973,MALLINCKRODT,4
1973,MERCK,4
1973,NOVARTIS,4
1973,APIL,3
1973,"CROWN LABS",3
1973,"FRESENIUS KABI USA",3
1973,GLAXOSMITHKLINE,3
1973,"KING PHARMS",3
1973,PARKEDALE,3
1973,PFIZER,3
1973,SANDOZ,3
1973,"SANOFI AVENTIS US",3
1973,"ALCON LABS INC",2
1973,"EUROHLTH INTL SARL",2
1973,"HIKMA INTL PHARMS",2
1973,"MONARCH PHARMS",2
1973,"NEXGEN PHARMA INC",2
1973,"OAK PHARMS",2
1973,SCHERING,2
1973,TABLICAPS,2
1973,"WEST WARD",2
1973,3M,1
1973,"ACS DOBFAR",1
1973,"ACTAVIS ELIZABETH",1
1973,AKORN,1
1973,"AKRIMAX PHARMS",1
1973,ALLERGAN,1
1973,APOTHECON,1
1973,"ARBOR PHARMS LLC",1
1973,ASTELLAS,1
1973,"B BRAUN",1
1973,"BAXTER HLTHCARE",1
1973,"BOEHRINGER INGELHEIM",1
1973,BRACCO,1
1973,"BRISTOL MYERS",1
1973,"BRISTOL MYERS SQUIBB",1
1973,"C AND M PHARMA",1
1973,"CASPER PHARMA LLC",1
1973,"CNTY LINE PHARMS",1
1973,COLGATE,1
1973,COREPHARMA,1
1973,DISTA,1
1973,EVERYLIFE,1
1973,"FOUGERA PHARMS",1
1973,"G AND W LABS INC",1
1973,"GE HEALTHCARE",1
1973,"GRAHAM CHEM",1
1973,"HERITAGE PHARMS INC",1
1973,HOSPIRA,1
1973,"IVAX SUB TEVA PHARMS",1
1973,"JANSSEN PHARMS",1
1973,"LABORATOIRE HRA",1
1973,"MALLINCKRODT INC",1
1973,"MALLINKRODT NUCLEAR",1
1973,"MARSHALL PHARMA",1
1973,"MERIDIAN MEDCL TECHN",1
1973,MYLAN,1
1973,"OXFORD PHARMS",1
1973,PANRAY,1
1973,"PAR STERILE PRODUCTS",1
1973,"PARKE DAVIS",1
1973,"PRAGMA PHARMS LLC",1
1973,"PUREPAC PHARM",1
1973,"REMPEX PHARMS INC",1
1973,ROXANE,1
1973,SPERTI,1
1973,"SUN PHARM INDS",1
1973,"TRIAX PHARMS",1
1973,"UCB INC",1
1973,"VALEANT PHARM INTL",1
1973,"VALEANT PHARMS NORTH",1
1973,"WARNER CHILCOTT",1
1973,"WHITEWORTH TOWN PLSN",1
1973,"X GEN PHARMS",1
1974,"WATSON LABS",16
1974,PFIZER,13
1974,HOSPIRA,12
1974,ALCON,11
1974,LANNETT,11
1974,"WYETH AYERST",11
1974,APOTHECON,7
1974,"SUN PHARM INDS",7
1974,NOVARTIS,6
1974,"PHARMACIA AND UPJOHN",6
1974,"VALEANT PHARM INTL",6
1974,"BAXTER HLTHCARE",5
1974,"DELCOR ASSET CORP",5
1974,"GE HEALTHCARE",5
1974,LEDERLE,5
1974,"MONARCH PHARMS",5
1974,ROCHE,5
1974,"USL PHARMA",5
1974,"BOEHRINGER INGELHEIM",4
1974,BRACCO,4
1974,GLAXOSMITHKLINE,4
1974,"IMPAX LABS",4
1974,"KING PHARMS",4
1974,SANDOZ,4
1974,"SANOFI AVENTIS US",4
1974,AKORN,3
1974,ALLERGAN,3
1974,"ALLERGAN SALES LLC",3
1974,BRISTOL,3
1974,"BRISTOL MYERS SQUIBB",3
1974,"FRESENIUS KABI USA",3
1974,LILLY,3
1974,"MEDA PHARMS",3
1974,"MUTUAL PHARM",3
1974,"NEXGEN PHARMA INC",3
1974,ROXANE,3
1974,SCHERING,3
1974,ABBOTT,2
1974,"AKORN INC",2
1974,"AM ANTIBIOTICS",2
1974,"B BRAUN",2
1974,"EUROHLTH INTL SARL",2
1974,FERRING,2
1974,"HI TECH PHARMA",2
1974,"LANTHEUS MEDCL",2
1974,MALLINCKRODT,2
1974,"MALLINKRODT NUCLEAR",2
1974,"MARSHALL PHARMA",2
1974,"MEDPOINTE PHARM HLC",2
1974,MERCK,2
1974,MYLAN,2
1974,"ORTHO MCNEIL PHARM",2
1974,"PAR STERILE PRODUCTS",2
1974,"PARKE DAVIS",2
1974,PARKEDALE,2
1974,"PERRIGO NEW YORK",2
1974,PHARMERAL,2
1974,"PURACAP PHARM",2
1974,SOLVAY,2
1974,"US PHARM HOLDINGS",2
1974,ABBVIE,1
1974,ADAPT,1
1974,"ALCON LABS INC",1
1974,"ALLERGAN HERBERT",1
1974,ALLERQUEST,1
1974,ALRA,1
1974,"AMARIN PHARMS",1
1974,"ANI PHARMS INC",1
1974,"AQUA PHARMS",1
1974,"AUXILIUM PHARMS LLC",1
1974,"BAXTER HLTHCARE CORP",1
1974,"BEL MAR",1
