TherapeuticClass,Drugname,TotalApprovals,ApprovalYear
AB,"TRIAMTERENE AND HYDROCHLOROTHIAZIDE",10,2001
AB,"TRIAMTERENE AND HYDROCHLOROTHIAZIDE",10,2002
AB1,"FLUOXETINE HYDROCHLORIDE",10,2002
AB,"DIVALPROEX SODIUM",10,2008
AB,"DOXYCYCLINE HYCLATE",10,1992
AB,DUTASTERIDE,10,2015
AB,HYDROCHLOROTHIAZIDE,10,2007
AB,"IMIPRAMINE HYDROCHLORIDE",10,1995
AB,"ISOSORBIDE DINITRATE",10,1991
AB,LETROZOLE,10,2011
AB,LISINOPRIL,10,2002
AB,NEVIRAPINE,10,2012
AB,DIAZEPAM,9,1993
AB,"DIVALPROEX SODIUM",9,2009
AB,"DOXYCYCLINE HYCLATE",9,2001
AB,"FLUPHENAZINE HYDROCHLORIDE",9,1988
AB,"FLUPHENAZINE HYDROCHLORIDE",9,1998
AB,"IMIPRAMINE HYDROCHLORIDE",9,1999
AB,"IRBESARTAN AND HYDROCHLOROTHIAZIDE",9,2012
AB,LAMOTRIGINE,9,2013
AB,LORAZEPAM,9,1991
AB,LORAZEPAM,9,1993
AB,"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE",9,2010
AB,"MONTELUKAST SODIUM",9,2015
AB,"MYCOPHENOLATE MOFETIL",9,2009
AB,"ONDANSETRON HYDROCHLORIDE",9,2007
AT,HYDROCORTISONE,9,1996
AT,"TRIAMCINOLONE ACETONIDE",9,1996
BP,DEXAMETHASONE,9,1990
AA,"ACETAMINOPHEN AND CODEINE PHOSPHATE",9,1988
AA,"ACETAMINOPHEN AND CODEINE PHOSPHATE",9,1995
AB,"ALENDRONATE SODIUM",9,2008
AB,ATENOLOL,9,1992
AB,ATENOLOL,9,1995
AB,ATENOLOL,9,1996
AB,ATENOLOL,9,2002
AB,AZITHROMYCIN,9,2005
AB,"DESIPRAMINE HYDROCHLORIDE",9,1988
AB,PREDNISONE,9,1984
AB,"PROPRANOLOL HYDROCHLORIDE",9,2001
AB,"RIZATRIPTAN BENZOATE",9,2012
AB,"ROSUVASTATIN CALCIUM",9,2016
AB,"SERTRALINE HYDROCHLORIDE",9,2007
AB,"TRAMADOL HYDROCHLORIDE",9,2002
AB,"TRAZODONE HYDROCHLORIDE",9,1991
AB,"TRAZODONE HYDROCHLORIDE",9,1996
AB,"VALACYCLOVIR HYDROCHLORIDE",9,2010
AB,VALSARTAN,9,2015
AB,VORICONAZOLE,9,2016
AP,"BUPIVACAINE HYDROCHLORIDE",9,1996
AP,"BUPIVACAINE HYDROCHLORIDE",8,1987
AP,"BUPIVACAINE HYDROCHLORIDE",8,1990
AP,"BUPIVACAINE HYDROCHLORIDE",8,1999
AP,"DOXORUBICIN HYDROCHLORIDE",8,1996
AP,"DOXORUBICIN HYDROCHLORIDE",8,1999
AP,"DOXORUBICIN HYDROCHLORIDE",8,2000
AT,"FLUOCINOLONE ACETONIDE",8,1988
AT,HYDROCORTISONE,8,1986
BP,DEXAMETHASONE,8,1992
AP,SENSORCAINE,8,1991
AP,SENSORCAINE,8,1992
AP,SENSORCAINE,8,1996
AP,SENSORCAINE,8,2002
AT,CICLOPIROX,8,2007
AB,DIAZEPAM,8,1987
AB,DIAZEPAM,8,1991
AB,"DOXYCYCLINE HYCLATE",8,2000
AB,"FLUOXETINE HYDROCHLORIDE",8,2002
AB,LINEZOLID,8,2015
AB,METRONIDAZOLE,8,1986
AB,"PIOGLITAZONE HYDROCHLORIDE",8,2013
AB,"RIZATRIPTAN BENZOATE",8,2013
AB,"SUMATRIPTAN SUCCINATE",8,2009
AB,"TAMSULOSIN HYDROCHLORIDE",8,2010
AB,TEMAZEPAM,8,1991
AB,TEMAZEPAM,8,1993
AB,"TRAZODONE HYDROCHLORIDE",8,1994
AB,"TRAZODONE HYDROCHLORIDE",8,2001
AB,"TRIAMTERENE AND HYDROCHLOROTHIAZIDE",8,1997
AB,"TRIAMTERENE AND HYDROCHLOROTHIAZIDE",8,2000
AB,"VENLAFAXINE HYDROCHLORIDE",8,2011
AB,"VERAPAMIL HYDROCHLORIDE",8,2001
AB,ZALEPLON,8,2008
AP,"MIDAZOLAM HYDROCHLORIDE",8,2000
AP,"ONDANSETRON HYDROCHLORIDE",8,2006
AP,"ONDANSETRON HYDROCHLORIDE PRESERVATIVE FREE",8,2006
AA,"HYDRALAZINE HYDROCHLORIDE",8,2001
AA,LEVETIRACETAM,8,2009
AA,"PHENTERMINE HYDROCHLORIDE",8,2014
AB,"AMITRIPTYLINE HYDROCHLORIDE",8,1987
AB,"AMITRIPTYLINE HYDROCHLORIDE",8,1992
AB,"AMITRIPTYLINE HYDROCHLORIDE",8,2000
AB,AMOXICILLIN,8,2000
AB,AMOXICILLIN,8,2001
AB,"AMOXICILLIN AND CLAVULANATE POTASSIUM",8,2002
AB,ARIPIPRAZOLE,8,2015
AB,ATENOLOL,8,2001
AB,"BETAMETHASONE DIPROPIONATE",8,1995
AB,"BETAMETHASONE DIPROPIONATE",8,1996
AB,CEFDINIR,8,2007
AB,CEFPROZIL,8,2005
AB,"CITALOPRAM HYDROBROMIDE",8,2004
AB,"DESIPRAMINE HYDROCHLORIDE",8,1996
AB,"DESIPRAMINE HYDROCHLORIDE",8,2000
AA,"BENZTROPINE MESYLATE",7,1998
AB,"AMITRIPTYLINE HYDROCHLORIDE",7,1982
AB,"AMITRIPTYLINE HYDROCHLORIDE",7,1985
AB,"AMITRIPTYLINE HYDROCHLORIDE",7,2014
AB,"BETAMETHASONE DIPROPIONATE",7,1987
AB,BICALUTAMIDE,7,2009
AB,"CLONIDINE HYDROCHLORIDE",7,1997
AB,"DESIPRAMINE HYDROCHLORIDE",7,1999
AP,SENSORCAINE,7,1993
AP,SENSORCAINE,7,1997
AP,SENSORCAINE,7,2001
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",7,1985
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",7,1986
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",7,1989
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",7,1992
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",7,1994
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",7,1997
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",7,1999
AP,"BUPIVACAINE HYDROCHLORIDE",7,1995
AP,CYTARABINE,7,2000
AP,"DEXTROSE 5% IN PLASTIC CONTAINER",7,1997
AP,"DOXORUBICIN HYDROCHLORIDE",7,2012
AT,"FLUOCINOLONE ACETONIDE",7,1996
AT,"FLUOCINOLONE ACETONIDE",7,2016
AT,"GENTAMICIN SULFATE",7,1996
AT,"KETOROLAC TROMETHAMINE",7,2009
AT,"TRIAMCINOLONE ACETONIDE",7,1984
AP,"NICARDIPINE HYDROCHLORIDE",7,2009
AP,"PAMIDRONATE DISODIUM",7,2008
AB,DIAZEPAM,7,1990
AB,"DICLOFENAC SODIUM",7,2002
AB,"DOXYCYCLINE HYCLATE",7,1994
AB,"DOXYCYCLINE HYCLATE",7,1997
AB,"DULOXETINE HYDROCHLORIDE",7,2013
AB,FAMOTIDINE,7,2001
AB,FINASTERIDE,7,2013
AB,FLUCONAZOLE,7,2004
AB,GLIPIZIDE,7,2001
AB,HALOPERIDOL,7,1988
AB,HALOPERIDOL,7,1989
AB,HALOPERIDOL,7,2000
AB,HALOPERIDOL,7,2001
AB,"IMIPRAMINE HYDROCHLORIDE",7,1993
AB,"IMIPRAMINE HYDROCHLORIDE",7,1997
AB,INDOMETHACIN,7,1987
AB,INDOMETHACIN,7,1989
AB,"ISOSORBIDE DINITRATE",7,1984
AB,"ISOSORBIDE DINITRATE",7,1987
AB,"ISOSORBIDE DINITRATE",7,1988
AB,"ISOSORBIDE DINITRATE",7,1996
AB,"ISOSORBIDE DINITRATE",7,1997
AB,"ISOSORBIDE DINITRATE",7,1999
AB,"ISOSORBIDE DINITRATE",7,2002
AB,LACOSAMIDE,7,2016
AB,"LISINOPRIL AND HYDROCHLOROTHIAZIDE",7,2002
AB,LORAZEPAM,7,2001
AB,"PANTOPRAZOLE SODIUM",7,2011
AB,PREDNISONE,7,1985
AB,PREDNISONE,7,1989
AB,PREDNISONE,7,2001
AB,PREDNISONE,7,2002
AB,RAMIPRIL,7,2008
AB,"RANITIDINE HYDROCHLORIDE",7,1999
AB,"ROPINIROLE HYDROCHLORIDE",7,2012
AB,SULINDAC,7,1991
AB,TELMISARTAN,7,2014
AB,TEMAZEPAM,7,1989
AB,"TRAZODONE HYDROCHLORIDE",7,1988
AB,"TRAZODONE HYDROCHLORIDE",7,1992
AB,"TRAZODONE HYDROCHLORIDE",7,1999
AB,"TRAZODONE HYDROCHLORIDE",7,2002
AB,"TRIAMTERENE AND HYDROCHLOROTHIAZIDE",7,1999
AB,"VERAPAMIL HYDROCHLORIDE",7,1998
AB,"VERAPAMIL HYDROCHLORIDE",7,1999
AB,"VERAPAMIL HYDROCHLORIDE",7,2002
AP,"AMMONIA N 13",7,2014
AB,"PRAVASTATIN SODIUM",6,2006
AB,"PRAZOSIN HYDROCHLORIDE",6,1998
AB,"PRAZOSIN HYDROCHLORIDE",6,2000
AB,"PRAZOSIN HYDROCHLORIDE",6,2002
AB,PREDNISONE,6,1982
AB,PREDNISONE,6,1987
AB,PREDNISONE,6,1998
AB,PREDNISONE,6,2000
AB,"PROPRANOLOL HYDROCHLORIDE",6,1992
AB,"RABEPRAZOLE SODIUM",6,2013
AB,"RANITIDINE HYDROCHLORIDE",6,2000
AB,"RANITIDINE HYDROCHLORIDE",6,2001
AB,"RISEDRONATE SODIUM",6,2015
AB,RISPERIDONE,6,2009
AB,RISPERIDONE,6,2011
AB,SIMVASTATIN,6,2006
AB,THEOPHYLLINE,6,1996
AB,THEOPHYLLINE,6,2000
AB,"TRIAMTERENE AND HYDROCHLOROTHIAZIDE",6,1998
AB,"VALSARTAN AND HYDROCHLOROTHIAZIDE",6,2013
AB,"VENLAFAXINE HYDROCHLORIDE",6,2010
AB,"VERAPAMIL HYDROCHLORIDE",6,1992
AB,"VERAPAMIL HYDROCHLORIDE",6,1996
AB,ZOLMITRIPTAN,6,2013
AB,ZONISAMIDE,6,2006
AB1,"BUPROPION HYDROCHLORIDE",6,2014
AP,"AMPICILLIN SODIUM",6,1993
AP,"AMPICILLIN SODIUM",6,1994
AP,"BUPIVACAINE HYDROCHLORIDE",6,2002
AP,CYTARABINE,6,1994
AP,CYTARABINE,6,1997
AP,"DEXTROSE 5% IN PLASTIC CONTAINER",6,1986
AP,"DEXTROSE 5% IN PLASTIC CONTAINER",6,1989
AP,"DEXTROSE 5% IN PLASTIC CONTAINER",6,1990
AP,"DEXTROSE 5% IN PLASTIC CONTAINER",6,1991
AP,"DEXTROSE 5% IN PLASTIC CONTAINER",6,1994
AP,"DEXTROSE 5% IN PLASTIC CONTAINER",6,1995
AP,"DEXTROSE 5% IN PLASTIC CONTAINER",6,1999
AP,"EPIRUBICIN HYDROCHLORIDE",6,2007
AP,"GEMCITABINE HYDROCHLORIDE",6,2016
AP,"HEPARIN SODIUM",6,2011
AP,"HEPARIN SODIUM",6,2014
AA,"HYDRALAZINE HYDROCHLORIDE",6,1988
AA,"HYDROCODONE BITARTRATE AND ACETAMINOPHEN",6,2013
AA,"METHADONE HYDROCHLORIDE",6,1998
AA,NYSTATIN,6,1997
AA,NYSTATIN,6,1998
AB,ACYCLOVIR,6,1997
AB,ACYCLOVIR,6,1998
AB,ACYCLOVIR,6,2002
AB,"AMIODARONE HYDROCHLORIDE",6,2002
AB,"AMITRIPTYLINE HYDROCHLORIDE",6,1977
AB,"AMITRIPTYLINE HYDROCHLORIDE",6,1978
AB,"AMITRIPTYLINE HYDROCHLORIDE",6,1988
AB,"AMITRIPTYLINE HYDROCHLORIDE",6,1991
AB,"AMITRIPTYLINE HYDROCHLORIDE",6,1996
AB,"AMLODIPINE BESYLATE AND VALSARTAN",6,2015
AB,AMOXICILLIN,6,1999
AB,ATENOLOL,6,1991
AB,"ATENOLOL AND CHLORTHALIDONE",6,1993
AB,"ATENOLOL AND CHLORTHALIDONE",6,1994
AB,"ATENOLOL AND CHLORTHALIDONE",6,1996
AB,"ATENOLOL AND CHLORTHALIDONE",6,1997
AB,"BENAZEPRIL HYDROCHLORIDE",6,2004
AB,CEFADROXIL,6,2006
AB,CELECOXIB,6,2015
AB,"CLONIDINE HYDROCHLORIDE",6,1987
AB,"CLONIDINE HYDROCHLORIDE",6,1988
AB,"CLONIDINE HYDROCHLORIDE",6,1989
AB,"CLONIDINE HYDROCHLORIDE",6,1992
AB,"DESIPRAMINE HYDROCHLORIDE",6,2001
AP,SENSORCAINE,6,1987
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",6,1990
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",6,1991
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",6,1998
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",6,2002
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",6,2016
AP,"SUMATRIPTAN SUCCINATE",6,2009
AP,"VANCOMYCIN HYDROCHLORIDE",6,1996
AP,"VANCOMYCIN HYDROCHLORIDE",6,2001
AP,"VANCOMYCIN HYDROCHLORIDE",6,2002
AP,"VANCOMYCIN HYDROCHLORIDE",6,2011
AP,"VANCOMYCIN HYDROCHLORIDE",6,2015
AB,DIAZEPAM,6,1986
AB,DIAZEPAM,6,1988
AB,DIAZEPAM,6,1998
AB,"DONEPEZIL HYDROCHLORIDE",6,2015
AB,"DOXYCYCLINE HYCLATE",6,1998
AB,ETODOLAC,6,2002
AB,FUROSEMIDE,6,1988
AB,FUROSEMIDE,6,1992
AB,FUROSEMIDE,6,1997
AB,FUROSEMIDE,6,2001
AB,GLIPIZIDE,6,2000
AB,HALOPERIDOL,6,1990
AB,HALOPERIDOL,6,1995
AB,HALOPERIDOL,6,1998
AB,HALOPERIDOL,6,1999
AB,HALOPERIDOL,6,2002
AB,"IBANDRONATE SODIUM",6,2012
AB,IBUPROFEN,6,1989
AB,IBUPROFEN,6,2001
AB,"IMIPRAMINE HYDROCHLORIDE",6,1983
AB,"IMIPRAMINE HYDROCHLORIDE",6,1986
AB,"IMIPRAMINE HYDROCHLORIDE",6,1991
AB,"IMIPRAMINE HYDROCHLORIDE",6,1994
AB,"IMIPRAMINE HYDROCHLORIDE",6,2000
AB,"IMIPRAMINE HYDROCHLORIDE",6,2001
AB,INDOMETHACIN,6,1990
AB,"IPRATROPIUM BROMIDE",6,2003
AB,"ISOSORBIDE DINITRATE",6,1982
AB,"ISOSORBIDE DINITRATE",6,1983
AB,"ISOSORBIDE DINITRATE",6,1994
AB,"ISOSORBIDE DINITRATE",6,2001
AB,"ISOSORBIDE MONONITRATE",6,2000
AB,LEVETIRACETAM,6,2010
AB,"LEVONORGESTREL AND ETHINYL ESTRADIOL",6,2015
AB,LORAZEPAM,6,1987
AB,LORAZEPAM,6,1996
AB,LORAZEPAM,6,1998
AB,LORAZEPAM,6,1999
AB,LORAZEPAM,6,2000
AB,LOVASTATIN,6,2001
AB,"METFORMIN HYDROCHLORIDE",6,2005
AB,METHYLDOPA,6,1988
AB,METHYLDOPA,6,1989
AB,METHYLDOPA,6,1993
AB,METHYLDOPA,6,1998
AB,METHYLDOPA,6,1999
AB,"METOCLOPRAMIDE HYDROCHLORIDE",6,2000
AB,"METOCLOPRAMIDE HYDROCHLORIDE",6,2002
AB,METRONIDAZOLE,6,1994
AB,METRONIDAZOLE,6,1997
AB,METRONIDAZOLE,6,2000
AB,METRONIDAZOLE,6,2001
AB,MINOXIDIL,6,1996
AB,MIRTAZAPINE,6,2003
AB,MODAFINIL,6,2012
AB,"NORTRIPTYLINE HYDROCHLORIDE",6,1995
AB,"NORTRIPTYLINE HYDROCHLORIDE",6,1997
AB,"NORTRIPTYLINE HYDROCHLORIDE",6,1998
AB,"NORTRIPTYLINE HYDROCHLORIDE",6,2002
AB,OLANZAPINE,6,2011
AB,ONDANSETRON,6,2007
AB,OXAZEPAM,6,1988
AB,OXAZEPAM,6,1989
AB,OXAZEPAM,6,1993
AB,OXAZEPAM,6,1998
AB,OXAZEPAM,6,2001
AB,OXAZEPAM,6,2002
AT,HYDROCORTISONE,6,1982
AT,"OLOPATADINE HYDROCHLORIDE",6,2015
AT,"TRIAMCINOLONE ACETONIDE",6,1981
AT,"TRIAMCINOLONE ACETONIDE",6,1992
AT,"TRIAMCINOLONE ACETONIDE",6,2016
BP,DEXAMETHASONE,6,1985
BP,DEXAMETHASONE,6,1991
BP,DEXAMETHASONE,6,1996
AP,"LIDOCAINE HYDROCHLORIDE",6,1986
AP,"LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE",6,1989
AP,"LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE",6,2002
AP,"NALOXONE HYDROCHLORIDE",6,1993
AP,"PAMIDRONATE DISODIUM",6,2002
AP,"LABETALOL HYDROCHLORIDE",5,1999
AP,"LIDOCAINE HYDROCHLORIDE",5,1996
AP,"LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE",5,1988
AP,"LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE",5,1990
AP,"LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE",5,1997
AP,"LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE",5,1998
AP,"MORPHINE SULFATE",5,1992
AP,"MORPHINE SULFATE",5,1996
AP,OXALIPLATIN,5,2009
AP,OXALIPLATIN,5,2016
AA,"ACETAMINOPHEN AND CODEINE PHOSPHATE",5,1989
AA,"ACETAMINOPHEN AND CODEINE PHOSPHATE",5,1992
AA,"ACETAMINOPHEN AND CODEINE PHOSPHATE",5,1993
AA,"ACETAMINOPHEN AND CODEINE PHOSPHATE",5,1996
AA,"ACETAMINOPHEN AND CODEINE PHOSPHATE",5,1998
AA,"ACETAMINOPHEN AND CODEINE PHOSPHATE",5,2000
AA,"BENZTROPINE MESYLATE",5,2001
AA,"BETHANECHOL CHLORIDE",5,2007
AA,"HYDRALAZINE HYDROCHLORIDE",5,1983
AA,"HYDRALAZINE HYDROCHLORIDE",5,1985
AA,"HYDRALAZINE HYDROCHLORIDE",5,1986
AA,"HYDROCODONE BITARTRATE AND ACETAMINOPHEN",5,2006
AA,"HYDROCODONE BITARTRATE AND ACETAMINOPHEN",5,2016
AA,METHOCARBAMOL,5,1986
AA,NYSTATIN,5,1994
AA,"OXYCODONE AND ACETAMINOPHEN",5,2013
AA,"PHENTERMINE HYDROCHLORIDE",5,2002
AA,RISPERIDONE,5,2009
AB,ACYCLOVIR,5,2000
AB,"ALFUZOSIN HYDROCHLORIDE",5,2011
AB,ALLOPURINOL,5,1987
AB,ALLOPURINOL,5,1990
AB,ALLOPURINOL,5,1991
AB,ALPRAZOLAM,5,1997
AB,"AMITRIPTYLINE HYDROCHLORIDE",5,1986
AB,"AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE",5,2010
AB,"AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE",5,2011
AB,AMOXICILLIN,5,1992
AB,AMOXICILLIN,5,1993
AB,AMOXICILLIN,5,1994
AB,AMOXICILLIN,5,1996
AB,AMOXICILLIN,5,2002
AB,AMOXICILLIN,5,2007
AB,AMOXIL,5,2001
AB,AMOXIL,5,2002
AB,"ATENOLOL AND CHLORTHALIDONE",5,1995
AB,"ATENOLOL AND CHLORTHALIDONE",5,2000
AB,"ATORVASTATIN CALCIUM",5,2012
AB,BACLOFEN,5,2005
AB,BACLOFEN,5,2007
AB,"BETAMETHASONE DIPROPIONATE",5,2003
AB,"BUSPIRONE HYDROCHLORIDE",5,2002
AB,CAPTOPRIL,5,1996
AB,CAPTOPRIL,5,1997
AB,"CARBIDOPA AND LEVODOPA",5,2001
AB,"CARBIDOPA AND LEVODOPA",5,2002
AB,CEPHALEXIN,5,2005
AB,CLARITHROMYCIN,5,2005
AB,CLONAZEPAM,5,1997
AB,CLONAZEPAM,5,1998
AB,CLONAZEPAM,5,2000
AB,CLONAZEPAM,5,2001
AB,CLOZAPINE,5,2015
AB,DESLORATADINE,5,2010
AB,"DEXMETHYLPHENIDATE HYDROCHLORIDE",5,2013
AB,"DEXMETHYLPHENIDATE HYDROCHLORIDE",5,2015
AB,PERPHENAZINE,5,1998
AB,PREDNISONE,5,1983
AB,"PROPRANOLOL HYDROCHLORIDE",5,1990
AB,"PROPRANOLOL HYDROCHLORIDE",5,1993
AB,"PROPRANOLOL HYDROCHLORIDE",5,1994
AB,"PROPRANOLOL HYDROCHLORIDE",5,2000
AB,"QUINIDINE SULFATE",5,1989
AB,"QUINIDINE SULFATE",5,1994
AB,"QUINIDINE SULFATE",5,1996
AB,"RANITIDINE HYDROCHLORIDE",5,1997
AB,"RANITIDINE HYDROCHLORIDE",5,1998
AB,REPAGLINIDE,5,2014
AB,"ROPINIROLE HYDROCHLORIDE",5,2008
AB,"SILDENAFIL CITRATE",5,2012
AB,SULINDAC,5,2002
AB,TEMAZEPAM,5,1987
AB,TEMAZEPAM,5,1988
AB,TEMAZEPAM,5,2001
AB,"TRAZODONE HYDROCHLORIDE",5,1997
AB,"TRAZODONE HYDROCHLORIDE",5,1998
AB,"TRIAMTERENE AND HYDROCHLOROTHIAZIDE",5,1993
AB,"TRIAMTERENE AND HYDROCHLOROTHIAZIDE",5,1996
AB,"TRIFLUOPERAZINE HYDROCHLORIDE",5,1997
AB,"VENLAFAXINE HYDROCHLORIDE",5,2008
AB,"VERAPAMIL HYDROCHLORIDE",5,1993
AB,"VERAPAMIL HYDROCHLORIDE",5,2007
AB,"ZIPRASIDONE HYDROCHLORIDE",5,2012
AP,ADENOSINE,5,2014
AP,"AMMONIA N 13",5,2015
AP,CARBOPLATIN,5,2004
AP,CEFTRIAXONE,5,2005
AP,CEFTRIAXONE,5,2008
AP,CYTARABINE,5,1995
AP,CYTARABINE,5,2001
AP,"DEXTROSE 5% IN PLASTIC CONTAINER",5,1985
AP,"DEXTROSE 5% IN PLASTIC CONTAINER",5,1992
AP,"DEXTROSE 5% IN PLASTIC CONTAINER",5,1998
AP,DOCETAXEL,5,2014
AP,"DOXORUBICIN HYDROCHLORIDE",5,1995
AP,"DOXORUBICIN HYDROCHLORIDE",5,1997
AP,"FOSPHENYTOIN SODIUM",5,2007
AP,"GEMCITABINE HYDROCHLORIDE",5,2013
AP,"GRANISETRON HYDROCHLORIDE",5,2009
AP,"GRANISETRON HYDROCHLORIDE",5,2014
AT,"FLUOCINOLONE ACETONIDE",5,1982
AT,"FLUOCINOLONE ACETONIDE",5,1993
AT,"GENTAMICIN SULFATE",5,2002
AT,HYDROCORTISONE,5,1989
AT,HYDROCORTISONE,5,1995
AT,HYDROCORTISONE,5,1999
AT,HYDROCORTISONE,5,2000
AT,LATANOPROST,5,2011
AT,NYSTATIN,5,1994
AT,NYSTATIN,5,1995
AT,NYSTATIN,5,1996
AT,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",5,1980
AT,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",5,1981
AT,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",5,1982
AT,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",5,1985
AT,"TRIAMCINOLONE ACETONIDE",5,1993
AT,"TRIAMCINOLONE ACETONIDE",5,1995
AT1,"TIMOLOL MALEATE",5,2002
BP,"CHLORPROMAZINE HYDROCHLORIDE",5,1974
BP,"CHLORPROMAZINE HYDROCHLORIDE",5,1986
BP,"CHLORPROMAZINE HYDROCHLORIDE",5,1987
BP,"CHLORPROMAZINE HYDROCHLORIDE",5,1988
BP,"CHLORPROMAZINE HYDROCHLORIDE",5,1990
BP,"CHLORPROMAZINE HYDROCHLORIDE",5,1991
BP,"CHLORPROMAZINE HYDROCHLORIDE",5,1992
BP,"CHLORPROMAZINE HYDROCHLORIDE",5,1996
